;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.0;HybridAgent;0.0;Failed
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.85202;ColmanAnacondotAgent2;0.5524487664;Agreement
3;LuckyAgent2022;0.95814;TimeDependentAgent;0.4561621662;Agreement
4;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
5;LuckyAgent2022;0.9453143368;Agent4410;0.474478944;Agreement
6;LuckyAgent2022;0.978770694;AgentFish;0.2781806367;Agreement
7;LuckyAgent2022;0.0;AgentFO2;0.0;Failed
8;LuckyAgent2022;0.936910694;BoulwareAgent;0.5282021763;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.0;HardlinerAgent;0.0;Failed
11;HybridAgent;0.7177615249;ColmanAnacondotAgent2;0.4939952607;Agreement
12;HybridAgent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;Agent4410;0.0;Failed
15;HybridAgent;0.78535;AgentFish;0.5188555928;Agreement
16;HybridAgent;0.7177615249;AgentFO2;0.4939952607;Agreement
17;HybridAgent;0.7558724524;BoulwareAgent;0.3828168622;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;0.0;HybridAgent;0.0;Failed
20;HardlinerAgent;0.9871743368;ColmanAnacondotAgent2;0.2244574044;Agreement
21;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
22;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
23;HardlinerAgent;0.9871743368;Agent4410;0.2244574044;Agreement
24;HardlinerAgent;1.0;AgentFish;0.2061406266;Agreement
25;HardlinerAgent;0.0;AgentFO2;0.0;Failed
26;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
27;ColmanAnacondotAgent2;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
28;ColmanAnacondotAgent2;0.3851871292;HybridAgent;0.8935333512;Agreement
29;ColmanAnacondotAgent2;0.3122175916;HardlinerAgent;0.9757534099;Agreement
30;ColmanAnacondotAgent2;0.936910694;TimeDependentAgent;0.5282021763;Agreement
31;ColmanAnacondotAgent2;0.9593346844;StupidAgent;0.2120777067;Agreement
32;ColmanAnacondotAgent2;0.3206212344;Agent4410;0.9220301776;Agreement
33;ColmanAnacondotAgent2;0.8886038088;AgentFish;0.4892485224;Agreement
34;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
35;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
36;TimeDependentAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
37;TimeDependentAgent;0.5205307999;HybridAgent;0.7254337484;Agreement
38;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
39;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
40;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
41;TimeDependentAgent;0.6000264631;Agent4410;0.7407101442;Agreement
42;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
43;TimeDependentAgent;0.3980127924;AgentFO2;0.8752165734;Agreement
44;TimeDependentAgent;0.3334468976;BoulwareAgent;0.9037133998;Agreement
45;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
46;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
47;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
48;StupidAgent;0.2309392224;ColmanAnacondotAgent2;0.9696269791;Agreement
49;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
50;StupidAgent;0.2618066012;Agent4410;0.874709756;Agreement
51;StupidAgent;0.2670827924;AgentFish;0.6878884604;Agreement
52;StupidAgent;0.3122175916;AgentFO2;0.9757534099;Agreement
53;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
54;Agent4410;0.0;LuckyAgent2022;0.0;Failed
55;Agent4410;0.0;HybridAgent;0.0;Failed
56;Agent4410;0.0;HardlinerAgent;0.0;Failed
57;Agent4410;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
58;Agent4410;0.936910694;TimeDependentAgent;0.5282021763;Agreement
59;Agent4410;0.9658531236;StupidAgent;0.3062340193;Agreement
60;Agent4410;0.7978544476;AgentFish;0.2981589209;Agreement
61;Agent4410;0.5039199463;AgentFO2;0.7361667444;Agreement
62;Agent4410;0.2918927924;BoulwareAgent;0.9715031736;Agreement
63;AgentFish;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
64;AgentFish;0.2550068976;HybridAgent;0.7999433998;Agreement
65;AgentFish;0.2273268976;HardlinerAgent;1.0;Agreement
66;AgentFish;0.2918927924;ColmanAnacondotAgent2;0.9715031736;Agreement
67;AgentFish;0.8030940708;TimeDependentAgent;0.515137885;Agreement
68;AgentFish;0.6905172421;StupidAgent;0.1886926653;Agreement
69;AgentFish;0.8723447992;Agent4410;0.5566990027;Agreement
70;AgentFish;0.2695197248;AgentFO2;0.7247816091;Agreement
71;AgentFish;0.153158482;BoulwareAgent;0.734076308;Agreement
72;AgentFO2;0.0;LuckyAgent2022;0.0;Failed
73;AgentFO2;0.6000264631;HybridAgent;0.7407101442;Agreement
74;AgentFO2;0.0;HardlinerAgent;0.0;Failed
75;AgentFO2;0.8678064112;ColmanAnacondotAgent2;0.4729211205;Agreement
76;AgentFO2;0.8886038088;TimeDependentAgent;0.4892485224;Agreement
77;AgentFO2;0.954963904;StupidAgent;0.2351679077;Agreement
78;AgentFO2;0.5354605683;Agent4410;0.7692069706;Agreement
79;AgentFO2;0.7189562093;AgentFish;0.2499108012;Agreement
