,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6700285056444444,0.3626050869061737,1.3175288385722224,331.05555555555554,18,18,0,0
BoulwareAgent,0.642137617411111,0.3233668257493915,1.2447383360333335,2309.0555555555557,18,18,0,0
HardlinerAgent,0.6028728325999999,0.15247289036953002,0.7576677289777778,2581.9444444444443,18,11,7,0
LuckyAgent2022,0.5761024232888888,0.22384884191582236,0.8161731354166668,1254.1666666666667,18,11,7,0
AgentFO2,0.5656406510166666,0.26815752973203494,0.9594150515444445,1566.7777777777778,18,14,4,0
HybridAgent,0.5475264990555555,0.2260389589009093,0.83024044385,134.05555555555554,18,12,6,0
Agent4410,0.5250997924222223,0.2862071604256955,1.0167306563444445,1078.5555555555557,18,14,4,0
TimeDependentAgent,0.5047404858333334,0.37936172692503267,1.3322251912444445,575.3333333333334,18,18,0,0
AgentFish,0.43070634676666675,0.2759587297799239,1.1601356651166668,979.1111111111111,18,18,0,0
StupidAgent,0.2484923202888889,0.2347543454379607,1.1918399015555554,2.5,18,18,0,0
