;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;ColmanAnacondotAgent2;0.6337535596049999;0.27920120607933324;0.6958617971549999;0.6958617971549999;0.3680531873375507;0.10529147925044313;1.3296153567600002;0.09949685981125216;0.6337535596049999;0.27920120607933324;0.6958617971549999;0.27901562472605645;20;20;1.0;0;0
1;TimeDependentAgent;0.505787868635;0.2009628284798804;0.8165325809749999;0.8165325809749999;0.3732832783915816;0.07343132297703672;1.3223204496099998;0.06794483379204438;0.505787868635;0.2009628284798804;0.8165325809749999;0.20892207358245596;20;20;1.0;0;0
2;LuckyAgent2022;0.65488739864;0.4310126638788629;0.258120836455;0.258120836455;0.23941394796226434;0.17498168330596814;0.9130082350950002;0.6025612913395799;0.9355534266285713;0.0530130909425298;0.36874405207857147;0.1069466273149727;20;14;0.7;0;6
3;StupidAgent;0.23226575560999999;0.05878987154428367;0.937752410035;0.937752410035;0.22056430421543993;0.06361305520887531;1.170018165645;0.13358545191844204;0.23226575560999999;0.05878987154428367;0.937752410035;0.09421125050086497;20;20;1.0;0;0
4;HybridAgent;0.46509146902500004;0.42653274915225914;0.23381592035999996;0.23381592035999996;0.19362185018305517;0.18857500401278154;0.6989073893850001;0.6366775591588117;0.8456208527727274;0.0948608167501267;0.42511985519999995;0.12753681850675175;20;11;0.55;0;9
5;AgentFish;0.45403966453999994;0.24362881138112327;0.6891573144850001;0.6891573144850001;0.26044999440873434;0.1042281941872207;1.1431969790249998;0.18862027045484722;0.45403966453999994;0.24362881138112327;0.6891573144850001;0.2848370264592114;20;20;1.0;0;0
6;Agent4410;0.4145689731300001;0.28860587437394747;0.651245237655;0.651245237655;0.26365543546735554;0.14469687267694212;1.065814210785;0.4587655992537258;0.48772820368235303;0.24962042629014072;0.7661708678294117;0.2765098081997333;20;17;0.85;0;3
7;HardlinerAgent;0.54501020835;0.4930273610406843;0.13082633734;0.13082633734;0.12949355312913044;0.11971992352541976;0.67583654569;0.6116938833978469;0.9909276515454546;0.00918695833404637;0.23786606789090906;0.03583002393073181;20;11;0.55;0;9
8;BoulwareAgent;0.6113637153100001;0.24454818120787916;0.6432763136850002;0.6432763136850002;0.33367720967906306;0.09356332072310067;1.254640028995;0.14839003979865656;0.6113637153100001;0.24454818120787916;0.6432763136850002;0.28532957405779774;20;20;1.0;0;0
9;AgentFO2;0.58576667109;0.33714561162919976;0.43429616492;0.43429616492;0.29324833312601145;0.17237000590932713;1.02006283601;0.5305837406414791;0.7322083388625;0.18670335830155188;0.54287020615;0.2318254300354133;20;16;0.8;0;4
10;DreamTeam109Agent;0.617725626675;0.4536436025779987;0.229375997545;0.229375997545;0.21773718673373094;0.17474836771756153;0.8471016242200001;0.6259568316978309;0.9503471179615383;0.022315879458191395;0.3528861500692307;0.0928825787670886;20;13;0.65;0;7
