,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
LuckyAgent2022,0.6548873986400001,0.2394139479622644,0.9130082350950002,1717.8,20,14,6,0
ColmanAnacondotAgent2,0.633753559605,0.3680531873375507,1.3296153567600002,490.1,20,20,0,0
DreamTeam109Agent,0.617725626675,0.217737186733731,0.8471016242200001,4136.7,20,13,7,0
BoulwareAgent,0.6113637153100001,0.33367720967906295,1.254640028995,3845.1,20,20,0,0
AgentFO2,0.5857666710899999,0.2932483331260114,1.02006283601,2816.4,20,16,4,0
HardlinerAgent,0.54501020835,0.1294935531291304,0.67583654569,5155.55,20,11,9,0
TimeDependentAgent,0.505787868635,0.3732832783915816,1.3223204496099998,1345.25,20,20,0,0
HybridAgent,0.46509146902500004,0.19362185018305517,0.6989073893850001,191.35,20,11,9,0
AgentFish,0.45403966453999994,0.26044999440873434,1.143196979025,1931.2,20,20,0,0
Agent4410,0.41456897313,0.2636554354673555,1.065814210785,1248.95,20,17,3,0
StupidAgent,0.23226575560999999,0.22056430421543993,1.1700181656450002,2.5,20,20,0,0
