,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
LuckyAgent2022,0.647332280565,0.238773008506235,0.9095081941450001,1351.35,20,14,6,0
ColmanAnacondotAgent2,0.632255868865,0.3717438708854449,1.3371363981750002,290.2,20,20,0,0
DreamTeam109Agent,0.591237557735,0.21697200503358932,0.8398399421750001,3185.05,20,13,7,0
AgentFO2,0.58620808919,0.28974469664004376,1.01067998355,1728.6,20,16,4,0
BoulwareAgent,0.551369579605,0.29998435840483545,1.1628477793650003,2594.8,20,19,1,0
Agent4410,0.5106274745649999,0.2583146670471229,0.9914691762700001,1079.1,20,16,4,0
HybridAgent,0.50205563226,0.2068436695882722,0.75732582601,146.75,20,12,8,0
HardlinerAgent,0.49443916200499993,0.12122133421443275,0.617227850275,3882.55,20,10,10,0
TimeDependentAgent,0.46275331260499986,0.3467366743515664,1.288926193825,527.2,20,20,0,0
AgentFish,0.413463911955,0.2801036342457276,1.1654222071350002,1029.5,20,20,0,0
StupidAgent,0.24975229832999996,0.23799354939094242,1.202606784435,2.5,20,20,0,0
