,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6666096245,0.38584210474749464,1.3478750665850001,326.7,20,20,0,0
DreamTeam109Agent,0.6235130232649999,0.2135747764944813,0.88795647041,3391.15,20,14,6,0
LuckyAgent2022,0.59976072854,0.22618468316732682,0.84782768893,1361.3,20,13,7,0
BoulwareAgent,0.57347788571,0.2928537923415544,1.19839665513,2801.15,20,20,0,0
AgentFO2,0.5436524244949998,0.26552699159439486,0.9386287120399999,1810.45,20,15,5,0
HardlinerAgent,0.5432268324999999,0.13645370319615607,0.6816264003500001,3798.65,20,11,9,0
TimeDependentAgent,0.4924107607599999,0.37120243238647527,1.31677660585,637.25,20,20,0,0
HybridAgent,0.46054206442000006,0.19841087678999708,0.70268087612,142.05,20,11,9,0
Agent4410,0.453999905255,0.2734826778207518,1.005672173025,1146.75,20,16,4,0
AgentFish,0.42013343154500005,0.27686269875555447,1.1495607586900003,1101.05,20,20,0,0
StupidAgent,0.26942043081,0.2542437149326247,1.2164928164700002,2.5,20,20,0,0
