;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;HybridAgent;0.0;HardlinerAgent;0.0;Failed
1;HybridAgent;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
2;HybridAgent;0.7874541052;TimeDependentAgent;0.5809455928;Agreement
3;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
4;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
5;HybridAgent;0.0;Agent4410;0.0;Failed
6;HybridAgent;0.745597914;AgentFish;0.4139753488;Agreement
7;HybridAgent;0.0;AgentFO2;0.0;Failed
8;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HardlinerAgent;0.0;HybridAgent;0.0;Failed
11;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
12;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
13;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HardlinerAgent;0.9871743368;DreamTeam109Agent;0.2244574044;Agreement
15;HardlinerAgent;0.0;Agent4410;0.0;Failed
16;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
17;HardlinerAgent;0.0;AgentFO2;0.0;Failed
18;HardlinerAgent;1.0;BoulwareAgent;0.2061406266;Agreement
19;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
20;ColmanAnacondotAgent2;0.5787971571;HybridAgent;0.8127501543;Agreement
21;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
22;ColmanAnacondotAgent2;0.95814;TimeDependentAgent;0.4561621662;Agreement
23;ColmanAnacondotAgent2;0.9871743368;StupidAgent;0.2244574044;Agreement
24;ColmanAnacondotAgent2;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
25;ColmanAnacondotAgent2;0.3980127924;Agent4410;0.8752165734;Agreement
26;ColmanAnacondotAgent2;0.936910694;AgentFish;0.5282021763;Agreement
27;ColmanAnacondotAgent2;0.936910694;AgentFO2;0.5282021763;Agreement
28;ColmanAnacondotAgent2;0.8935741052;BoulwareAgent;0.4846589926;Agreement
29;ColmanAnacondotAgent2;0.5787971571;LuckyAgent2022;0.8127501543;Agreement
30;TimeDependentAgent;0.3851871292;HybridAgent;0.8935333512;Agreement
31;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
32;TimeDependentAgent;0.3334468976;ColmanAnacondotAgent2;0.9037133998;Agreement
33;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
34;TimeDependentAgent;0.3334468976;DreamTeam109Agent;0.9037133998;Agreement
35;TimeDependentAgent;0.5872007999;Agent4410;0.759026922;Agreement
36;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
37;TimeDependentAgent;0.4293405683;AgentFO2;0.8654935708;Agreement
38;TimeDependentAgent;0.3228119156;BoulwareAgent;0.8806674432;Agreement
39;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
40;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
41;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
42;StupidAgent;0.2918927924;ColmanAnacondotAgent2;0.9715031736;Agreement
43;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
44;StupidAgent;0.3284766012;DreamTeam109Agent;0.9083029296;Agreement
45;StupidAgent;0.307532758;Agent4410;0.9056954658;Agreement
46;StupidAgent;0.3218159188;AgentFish;0.6779457181;Agreement
47;StupidAgent;0.3122175916;AgentFO2;0.9757534099;Agreement
48;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
49;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
50;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
51;DreamTeam109Agent;0.0;HardlinerAgent;0.0;Failed
52;DreamTeam109Agent;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
53;DreamTeam109Agent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
54;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
55;DreamTeam109Agent;0.9436987116;Agent4410;0.2757885253;Agreement
56;DreamTeam109Agent;0.9824832644;AgentFish;0.1861721662;Agreement
57;DreamTeam109Agent;0.95814;AgentFO2;0.4561621662;Agreement
58;DreamTeam109Agent;0.9453143368;BoulwareAgent;0.474478944;Agreement
59;DreamTeam109Agent;0.0;LuckyAgent2022;0.0;Failed
60;Agent4410;0.0;HybridAgent;0.0;Failed
61;Agent4410;0.0;HardlinerAgent;0.0;Failed
62;Agent4410;0.8556323248;ColmanAnacondotAgent2;0.5220757455;Agreement
63;Agent4410;0.870240694;TimeDependentAgent;0.4946090027;Agreement
64;Agent4410;0.936910694;StupidAgent;0.5282021763;Agreement
65;Agent4410;0.2288351172;DreamTeam109Agent;0.9075369791;Agreement
66;Agent4410;0.5354605683;AgentFish;0.7692069706;Agreement
67;Agent4410;0.5099401339;AgentFO2;0.7370147247;Agreement
68;Agent4410;0.3122175916;BoulwareAgent;0.9757534099;Agreement
69;Agent4410;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
70;AgentFish;0.3775846868;HybridAgent;0.7673703462;Agreement
71;AgentFish;0.3122175916;HardlinerAgent;0.9757534099;Agreement
72;AgentFish;0.3122175916;ColmanAnacondotAgent2;0.9757534099;Agreement
73;AgentFish;0.7177615249;TimeDependentAgent;0.4939952607;Agreement
74;AgentFish;0.6893787453;StupidAgent;0.1845720839;Agreement
75;AgentFish;0.2741852448;DreamTeam109Agent;0.9056412694;Agreement
76;AgentFish;0.4947076635;Agent4410;0.6571105071;Agreement
77;AgentFish;0.2627200212;AgentFO2;0.6500152529;Agreement
78;AgentFish;0.2706951172;BoulwareAgent;0.6575154395;Agreement
79;AgentFish;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
80;AgentFO2;0.5354605683;HybridAgent;0.7692069706;Agreement
81;AgentFO2;0.0;HardlinerAgent;0.0;Failed
82;AgentFO2;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
83;AgentFO2;0.85202;TimeDependentAgent;0.5524487664;Agreement
84;AgentFO2;0.9871743368;StupidAgent;0.2244574044;Agreement
85;AgentFO2;0.0;DreamTeam109Agent;0.0;Failed
86;AgentFO2;0.7889623248;Agent4410;0.4884825719;Agreement
87;AgentFO2;0.7102087896;AgentFish;0.2330911333;Agreement
88;AgentFO2;0.8219338088;BoulwareAgent;0.4556553488;Agreement
89;AgentFO2;0.4971632859;LuckyAgent2022;0.7772579943;Agreement
90;BoulwareAgent;0.5872007999;HybridAgent;0.759026922;Agreement
91;BoulwareAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
92;BoulwareAgent;0.3851871292;ColmanAnacondotAgent2;0.8935333512;Agreement
93;BoulwareAgent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
94;BoulwareAgent;1.0;StupidAgent;0.2061406266;Agreement
95;BoulwareAgent;0.2305837204;DreamTeam109Agent;0.9402612499;Agreement
96;BoulwareAgent;0.6566176253;Agent4410;0.2683316842;Agreement
97;BoulwareAgent;0.6374024425;AgentFish;0.1202999466;Agreement
98;BoulwareAgent;0.4614543759;AgentFO2;0.5305733809;Agreement
99;BoulwareAgent;0.2741852448;LuckyAgent2022;0.9056412694;Agreement
100;LuckyAgent2022;0.0;HybridAgent;0.0;Failed
101;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
102;LuckyAgent2022;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
103;LuckyAgent2022;0.9453143368;TimeDependentAgent;0.474478944;Agreement
104;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
105;LuckyAgent2022;0.0;DreamTeam109Agent;0.0;Failed
106;LuckyAgent2022;0.9465602612;Agent4410;0.28889114;Agreement
107;LuckyAgent2022;0.9377118944;AgentFish;0.348315939;Agreement
108;LuckyAgent2022;0.0;AgentFO2;0.0;Failed
109;LuckyAgent2022;0.89147;BoulwareAgent;0.4225689926;Agreement
