;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;HybridAgent;0.0;HardlinerAgent;0.0;Failed
1;HybridAgent;0.85202;TimeDependentAgent;0.5524487664;Agreement
2;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
3;HybridAgent;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
4;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
5;HybridAgent;0.0;Agent4410;0.0;Failed
6;HybridAgent;0.7558724524;AgentFish;0.3828168622;Agreement
7;HybridAgent;0.0;AgentFO2;0.0;Failed
8;HybridAgent;0.745597914;BoulwareAgent;0.4139753488;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.7874541052;ColmanAnacondotAgent;0.5809455928;Agreement
11;HardlinerAgent;0.0;HybridAgent;0.0;Failed
12;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
13;HardlinerAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
14;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
15;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
16;HardlinerAgent;0.0;Agent4410;0.0;Failed
17;HardlinerAgent;1.0;AgentFish;0.2061406266;Agreement
18;HardlinerAgent;0.0;AgentFO2;0.0;Failed
19;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
20;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
21;HardlinerAgent;1.0;ColmanAnacondotAgent;0.2061406266;Agreement
22;TimeDependentAgent;0.3851871292;HybridAgent;0.8935333512;Agreement
23;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
24;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
25;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
26;TimeDependentAgent;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
27;TimeDependentAgent;0.5787971571;Agent4410;0.8127501543;Agreement
28;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
29;TimeDependentAgent;0.5142312623;AgentFO2;0.8412469807;Agreement
30;TimeDependentAgent;0.3284766012;BoulwareAgent;0.9083029296;Agreement
31;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
32;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent;0.9472565835;Agreement
33;StupidAgent;0.3122175916;HybridAgent;0.9757534099;Agreement
34;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
35;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
36;StupidAgent;0.2273268976;ColmanAnacondotAgent2;1.0;Agreement
37;StupidAgent;0.3101134864;DreamTeam109Agent;0.9136634099;Agreement
38;StupidAgent;0.3387511396;Agent4410;0.877144443;Agreement
39;StupidAgent;0.5016195867;AgentFish;0.6870685975;Agreement
40;StupidAgent;0.3122175916;AgentFO2;0.9757534099;Agreement
41;StupidAgent;0.3122175916;BoulwareAgent;0.9757534099;Agreement
42;StupidAgent;0.2273268976;LuckyAgent2022;1.0;Agreement
43;StupidAgent;0.2309392224;ColmanAnacondotAgent;0.9696269791;Agreement
44;ColmanAnacondotAgent2;0.3305250392;HybridAgent;0.7307392963;Agreement
45;ColmanAnacondotAgent2;0.3122175916;HardlinerAgent;0.9757534099;Agreement
46;ColmanAnacondotAgent2;0.95814;TimeDependentAgent;0.4561621662;Agreement
47;ColmanAnacondotAgent2;0.9824832644;StupidAgent;0.1861721662;Agreement
48;ColmanAnacondotAgent2;0.3284766012;DreamTeam109Agent;0.9083029296;Agreement
49;ColmanAnacondotAgent2;0.3980127924;Agent4410;0.8752165734;Agreement
50;ColmanAnacondotAgent2;1.0;AgentFish;0.2061406266;Agreement
51;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
52;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
53;ColmanAnacondotAgent2;0.2309392224;LuckyAgent2022;0.9696269791;Agreement
54;ColmanAnacondotAgent2;0.8723447992;ColmanAnacondotAgent;0.5566990027;Agreement
55;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
56;DreamTeam109Agent;0.0;HardlinerAgent;0.0;Failed
57;DreamTeam109Agent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
58;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
59;DreamTeam109Agent;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
60;DreamTeam109Agent;0.9465602612;Agent4410;0.28889114;Agreement
61;DreamTeam109Agent;0.9446238176;AgentFish;0.3782740294;Agreement
62;DreamTeam109Agent;0.0;AgentFO2;0.0;Failed
63;DreamTeam109Agent;0.9453143368;BoulwareAgent;0.474478944;Agreement
64;DreamTeam109Agent;0.0;LuckyAgent2022;0.0;Failed
65;DreamTeam109Agent;0.9453143368;ColmanAnacondotAgent;0.474478944;Agreement
66;Agent4410;0.0;HybridAgent;0.0;Failed
67;Agent4410;0.0;HardlinerAgent;0.0;Failed
