,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent,0.6408072458318181,0.3645323556034263,1.2984151952727272,556.5,22,22,0,0
ColmanAnacondotAgent2,0.6357332501272728,0.34883243077288084,1.3120323110636365,192.4090909090909,22,22,0,0
BoulwareAgent,0.5620329882545456,0.31530886926858287,1.1491813979136365,1910.6818181818182,22,20,2,0
LuckyAgent2022,0.5481766049863637,0.1769218250719608,0.7429298325636363,1049.909090909091,22,13,9,0
AgentFO2,0.5480922785954545,0.25098668209722635,0.8929041185772729,1212.0,22,16,6,0
HardlinerAgent,0.537092884990909,0.14141099661782056,0.6809610505636365,2814.8636363636365,22,12,10,0
DreamTeam109Agent,0.516531569390909,0.1860273974698675,0.7135562638454546,2283.8636363636365,22,12,10,0
Agent4410,0.48801850677272735,0.26000872880071757,0.9318785844318181,1027.409090909091,22,16,6,0
HybridAgent,0.48584831428181824,0.20882688427137663,0.7430619158818182,90.22727272727273,22,13,9,0
TimeDependentAgent,0.4815184640272728,0.37749471456024425,1.3341746040272726,388.8636363636364,22,22,0,0
AgentFish,0.3673364284954546,0.25014444251391416,1.1410005465818183,731.8636363636364,22,22,0,0
StupidAgent,0.2631756473181818,0.24586490377733689,1.2086325454227274,2.5,22,22,0,0
