;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.6000264631;HybridAgent;0.7407101442;Agreement
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
3;LuckyAgent2022;0.95814;TimeDependentAgent;0.4561621662;Agreement
4;LuckyAgent2022;1.0;StupidAgent;0.2061406266;Agreement
5;LuckyAgent2022;0.978770694;Agent4410;0.2781806367;Agreement
6;LuckyAgent2022;0.9465090212;AgentFish;0.2303944845;Agreement
7;LuckyAgent2022;0.78535;AgentFO2;0.5188555928;Agreement
8;LuckyAgent2022;0.95814;BoulwareAgent;0.4561621662;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.0;HardlinerAgent;0.0;Failed
11;HybridAgent;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
12;HybridAgent;0.936910694;TimeDependentAgent;0.5282021763;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;Agent4410;0.0;Failed
15;HybridAgent;0.7799556896;AgentFish;0.3486150744;Agreement
16;HybridAgent;0.7177615249;AgentFO2;0.4939952607;Agreement
17;HybridAgent;0.7558724524;BoulwareAgent;0.3828168622;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;0.0;HybridAgent;0.0;Failed
20;HardlinerAgent;0.9871743368;ColmanAnacondotAgent2;0.2244574044;Agreement
21;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
22;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
23;HardlinerAgent;0.9871743368;Agent4410;0.2244574044;Agreement
24;HardlinerAgent;1.0;AgentFish;0.2061406266;Agreement
25;HardlinerAgent;0.0;AgentFO2;0.0;Failed
26;HardlinerAgent;1.0;BoulwareAgent;0.2061406266;Agreement
27;ColmanAnacondotAgent2;0.5142312623;LuckyAgent2022;0.8412469807;Agreement
28;ColmanAnacondotAgent2;0.5787971571;HybridAgent;0.8127501543;Agreement
29;ColmanAnacondotAgent2;0.3122175916;HardlinerAgent;0.9757534099;Agreement
30;ColmanAnacondotAgent2;0.95814;TimeDependentAgent;0.4561621662;Agreement
31;ColmanAnacondotAgent2;0.9649280176;StupidAgent;0.2037485152;Agreement
32;ColmanAnacondotAgent2;0.3767834864;Agent4410;0.9472565835;Agreement
33;ColmanAnacondotAgent2;0.9453143368;AgentFish;0.474478944;Agreement
34;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
35;ColmanAnacondotAgent2;0.936910694;BoulwareAgent;0.5282021763;Agreement
36;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
37;TimeDependentAgent;0.3851871292;HybridAgent;0.8935333512;Agreement
38;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
39;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
40;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
41;TimeDependentAgent;0.5248255863;Agent4410;0.746161014;Agreement
42;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
43;TimeDependentAgent;0.4329528931;AgentFO2;0.8351205499;Agreement
44;TimeDependentAgent;0.3767834864;BoulwareAgent;0.9472565835;Agreement
45;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
46;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
47;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
48;StupidAgent;0.2273268976;ColmanAnacondotAgent2;1.0;Agreement
49;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
50;StupidAgent;0.1645268632;Agent4410;0.8304222922;Agreement
51;StupidAgent;0.2720085508;AgentFish;0.6847791835;Agreement
52;StupidAgent;0.2273268976;AgentFO2;1.0;Agreement
53;StupidAgent;0.3122175916;BoulwareAgent;0.9757534099;Agreement
54;Agent4410;0.0;LuckyAgent2022;0.0;Failed
55;Agent4410;0.0;HybridAgent;0.0;Failed
56;Agent4410;0.0;HardlinerAgent;0.0;Failed
57;Agent4410;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
58;Agent4410;0.8723447992;TimeDependentAgent;0.5566990027;Agreement
59;Agent4410;0.9612539584;StupidAgent;0.2582121763;Agreement
60;Agent4410;0.5095464287;AgentFish;0.7711890366;Agreement
61;Agent4410;0.3313427924;AgentFO2;0.8416233998;Agreement
62;Agent4410;0.3767834864;BoulwareAgent;0.9472565835;Agreement
63;AgentFish;0.2285801748;LuckyAgent2022;0.9105395908;Agreement
64;AgentFish;0.405725916;HybridAgent;0.7252884265;Agreement
65;AgentFish;0.3122175916;HardlinerAgent;0.9757534099;Agreement
66;AgentFish;0.3122175916;ColmanAnacondotAgent2;0.9757534099;Agreement
67;AgentFish;0.85202;TimeDependentAgent;0.5524487664;Agreement
68;AgentFish;0.6881332185;StupidAgent;0.1574161204;Agreement
69;AgentFish;0.3373651172;Agent4410;0.6911086131;Agreement
70;AgentFish;0.1722399868;AgentFO2;0.6804941453;Agreement
71;AgentFish;0.2200885092;BoulwareAgent;0.5318812694;Agreement
72;AgentFO2;0.5333564631;LuckyAgent2022;0.7071169706;Agreement
73;AgentFO2;0.5872007999;HybridAgent;0.759026922;Agreement
74;AgentFO2;0.0;HardlinerAgent;0.0;Failed
75;AgentFO2;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
76;AgentFO2;0.936910694;TimeDependentAgent;0.5282021763;Agreement
77;AgentFO2;0.9696576012;StupidAgent;0.204488944;Agreement
78;AgentFO2;0.803487776;Agent4410;0.4809635731;Agreement
79;AgentFO2;0.6409121257;AgentFish;0.1763677906;Agreement
80;AgentFO2;0.7177615249;BoulwareAgent;0.4939952607;Agreement
81;BoulwareAgent;0.4325973911;LuckyAgent2022;0.8057548207;Agreement
82;BoulwareAgent;0.5354605683;HybridAgent;0.7692069706;Agreement
83;BoulwareAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
84;BoulwareAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
85;BoulwareAgent;0.95814;TimeDependentAgent;0.4561621662;Agreement
86;BoulwareAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
87;BoulwareAgent;0.9871743368;Agent4410;0.2244574044;Agreement
88;BoulwareAgent;0.6240945017;AgentFish;0.1346451179;Agreement
89;BoulwareAgent;0.5865102807;AgentFO2;0.6628220074;Agreement
