;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;Agent4410;0.4684677214722222;0.34919418720275786;0.49951392010000006;0.49951392010000006;0.24554553373121502;0.1560291697380088;0.9679816415722223;0.5278337955531653;0.6023156418928571;0.27596540949300685;0.6422321829857144;0.28302716785346077;18;14;0.7777777777777778;0;4
1;AgentFish;0.40933047322777777;0.23605243043331514;0.6943234201833334;0.6943234201833334;0.25274971076891634;0.12386014092128354;1.1036538934111109;0.22017343489418179;0.40933047322777777;0.23605243043331514;0.6943234201833334;0.23594838057367706;18;18;1.0;0;0
2;BoulwareAgent;0.6260898573166666;0.2590362254649987;0.6030596461055555;0.6030596461055555;0.31625334911633635;0.10739841643357105;1.2291495034222222;0.18603822566609796;0.6260898573166666;0.2590362254649987;0.6030596461055555;0.300237926718956;18;18;1.0;0;0
3;StupidAgent;0.23658827320555556;0.04801855568888083;0.9431409213666667;0.9431409213666667;0.22424774921697185;0.053465290936512054;1.1797291945722224;0.1190343322312612;0.23658827320555556;0.04801855568888083;0.9431409213666667;0.0981837872391623;18;18;1.0;0;0
4;HybridAgent;0.6027309072055554;0.38391466312170863;0.3186476165333333;0.3186476165333333;0.26067439301247675;0.17989758763692726;0.9213785237388888;0.5787172755723775;0.8345504869000001;0.10302410983208483;0.4412043921230768;0.12474950909183506;18;13;0.7222222222222222;0;5
5;HardlinerAgent;0.6022383366611112;0.480484410879548;0.15849344727777778;0.15849344727777778;0.1559108081087548;0.12937369980235994;0.760731783938889;0.6076363732654094;0.9854809145363634;0.010064050771490144;0.2593529137272727;0.04873033687411438;18;11;0.6111111111111112;0;7
6;LuckyAgent2022;0.6866621595166666;0.38069357249973235;0.3199361739166666;0.3199361739166666;0.27217105024572114;0.1653273481665656;1.0065983334333333;0.5434191221353715;0.88285134795;0.11458442866811404;0.4113465093214285;0.14416642561712056;18;14;0.7777777777777778;0;4
7;AgentFO2;0.6508782020777777;0.2791265752443875;0.44467738823888886;0.44467738823888886;0.30479728631544334;0.15603999775561644;1.0955555903166667;0.4212577155745295;0.7322379773375001;0.16755859679767474;0.5002620617687501;0.22272912974020811;18;16;0.8888888888888888;0;2
8;ColmanAnacondotAgent2;0.6927442655;0.26870767296027476;0.6597271534666667;0.6597271534666667;0.3840112751060689;0.09497486411666299;1.3524714189666667;0.08606594311454066;0.6927442655;0.26870767296027476;0.6597271534666667;0.28500067993195227;18;18;1.0;0;0
9;TimeDependentAgent;0.5047641437722222;0.1911701875456057;0.8389746527666666;0.8389746527666666;0.3860133440885577;0.08432103043593071;1.343738796538889;0.07999510298457536;0.5047641437722222;0.1911701875456057;0.8389746527666666;0.2116486055208095;18;18;1.0;0;0
