,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6927442655,0.3840112751060689,1.352471418966667,446.05555555555554,18,18,0,0
LuckyAgent2022,0.6866621595166666,0.27217105024572114,1.0065983334333335,1405.6666666666667,18,14,4,0
AgentFO2,0.6508782020777778,0.30479728631544334,1.0955555903166667,1837.7777777777778,18,16,2,0
BoulwareAgent,0.6260898573166668,0.3162533491163363,1.2291495034222224,2721.6111111111113,18,18,0,0
HybridAgent,0.6027309072055557,0.2606743930124767,0.9213785237388888,174.94444444444446,18,13,5,0
HardlinerAgent,0.602238336661111,0.15591080810875482,0.7607317839388891,3043.8888888888887,18,11,7,0
TimeDependentAgent,0.5047641437722223,0.38601334408855764,1.3437387965388892,653.6111111111111,18,18,0,0
Agent4410,0.4684677214722222,0.24554553373121502,0.9679816415722223,1126.3333333333333,18,14,4,0
AgentFish,0.4093304732277777,0.2527497107689164,1.103653893411111,968.9444444444445,18,18,0,0
StupidAgent,0.23658827320555556,0.22424774921697185,1.1797291945722224,2.5,18,18,0,0
