,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
LuckyAgent2022,0.643580636155,0.25062459774470613,0.9242417372750001,1493.65,20,14,6,0
ColmanAnacondotAgent2,0.640317781055,0.36232428826667973,1.3292041273550002,314.4,20,20,0,0
BoulwareAgent,0.597639619555,0.3399076272628767,1.27274606842,3232.9,20,20,0,0
HybridAgent,0.55162071321,0.24383672847965893,0.844810945375,149.25,20,13,7,0
AgentFO2,0.5450009718699999,0.2504686717777274,0.9133380038350001,2539.75,20,15,5,0
DreamTeam109Agent,0.525661078515,0.16188036602061112,0.695094878535,3242.75,20,11,9,0
HardlinerAgent,0.495080445165,0.12150874962801177,0.618012608095,4067.3,20,10,10,0
TimeDependentAgent,0.4843906068900001,0.37025173249081755,1.3180623746199998,1279.1,20,20,0,0
AgentFish,0.46572359415499986,0.30038662116922893,1.1868221864850002,1769.5,20,20,0,0
Agent4410,0.42254257619999996,0.24530683052449787,0.93191236488,1198.4,20,15,5,0
StupidAgent,0.23490539737500002,0.22127957043209395,1.1786815454150004,2.5,20,20,0,0
