,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6829786069777779,0.35622751308466055,1.3076163731,342.55555555555554,18,18,0,0
HardlinerAgent,0.6611224537222222,0.15651099778792268,0.8191143228555555,3269.1666666666665,18,12,6,0
BoulwareAgent,0.6366031663555556,0.3238596668345374,1.2471951059444444,2896.6111111111113,18,18,0,0
LuckyAgent2022,0.615175061761111,0.24599078636433921,0.8896160614222224,1561.2222222222222,18,12,6,0
HybridAgent,0.5851722691833334,0.2598078947562743,0.9132753742666667,177.16666666666666,18,13,5,0
AgentFO2,0.5823630736722222,0.2564314575629427,0.9474526498666668,2128.6666666666665,18,14,4,0
TimeDependentAgent,0.5018493835333333,0.37241687998253553,1.3216346427111112,1025.9444444444443,18,18,0,0
Agent4410,0.46864850666111113,0.2903429339124284,1.0765724074555556,1145.111111111111,18,15,3,0
AgentFish,0.44940957168333334,0.27952400837202224,1.1655595661888891,1483.1666666666667,18,18,0,0
StupidAgent,0.26285581380555556,0.2430842804579671,1.2043193108999999,2.5,18,18,0,0
