;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;BoulwareAgent;0.6366031663555555;0.260015658036904;0.6105919395888889;0.6105919395888889;0.32385966683453743;0.09407670655219547;1.2471951059444446;0.13048507955312796;0.6366031663555555;0.260015658036904;0.6105919395888889;0.2812621625449835;18;18;1.0;0;0
1;ColmanAnacondotAgent2;0.6829786069777779;0.26093338764031526;0.6246377661222222;0.6246377661222222;0.3562275130846606;0.1031171367678305;1.3076163731;0.09431441826196481;0.6829786069777779;0.26093338764031526;0.6246377661222222;0.28562635256756885;18;18;1.0;0;0
2;AgentFish;0.44940957168333334;0.2601721904232479;0.7161499945055555;0.7161499945055555;0.2795240083720222;0.10552489074237482;1.165559566188889;0.16687536188454863;0.44940957168333334;0.2601721904232479;0.7161499945055555;0.2116580392377064;18;18;1.0;0;0
3;AgentFO2;0.5823630736722222;0.33850684991737734;0.36508957619444443;0.36508957619444443;0.2564314575629428;0.16823031737340702;0.9474526498666668;0.5244008815346336;0.748752523292857;0.15080277810985512;0.4694008836785714;0.21119928914957228;18;14;0.7777777777777778;0;4
4;HybridAgent;0.5851722691833334;0.37263113359423355;0.32810310508333335;0.32810310508333335;0.2598078947562743;0.1805578912878287;0.9132753742666666;0.5739006872735761;0.8102385265615386;0.09950868736259369;0.45429660703846153;0.13662582454097363;18;13;0.7222222222222222;0;5
5;HardlinerAgent;0.6611224537222222;0.467543814947777;0.15799186913333332;0.15799186913333332;0.1565109977879227;0.11372087233342335;0.8191143228555555;0.5796431494546628;0.9916836805833333;0.009146268753585833;0.23698780369999994;0.03442808289051896;18;12;0.6666666666666666;0;6
6;Agent4410;0.46864850666111113;0.3131416447274407;0.6079239007944445;0.6079239007944445;0.2903429339124284;0.1591765210590948;1.0765724074555554;0.489552298595961;0.5623782079933334;0.2548679778319798;0.7295086809533333;0.2610950592030264;18;15;0.8333333333333334;0;3
7;LuckyAgent2022;0.6151750617611111;0.4427818732334104;0.27444099966111113;0.27444099966111113;0.24599078636433916;0.1876954480649194;0.8896160614222222;0.6326266899214098;0.9227625926416665;0.10125914001482376;0.4116614994916667;0.1351596583300763;18;12;0.6666666666666666;0;6
8;StupidAgent;0.26285581380555556;0.07381570019225454;0.9414634970944444;0.9414634970944444;0.2430842804579671;0.04794935072195405;1.2043193108999999;0.0725634965855913;0.26285581380555556;0.07381570019225454;0.9414634970944444;0.0926630990194538;18;18;1.0;0;0
9;TimeDependentAgent;0.5018493835333334;0.19521656146777172;0.8197852591777778;0.8197852591777778;0.37241687998253553;0.07668912340837633;1.3216346427111112;0.06289754312040503;0.5018493835333334;0.19521656146777172;0.8197852591777778;0.2093568460556646;18;18;1.0;0;0
