;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;HybridAgent;0.0;HardlinerAgent;0.0;Failed
1;HybridAgent;0.936910694;TimeDependentAgent;0.5282021763;Agreement
2;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
3;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
4;HybridAgent;0.0;Agent4410;0.0;Failed
5;HybridAgent;0.7399332284;AgentFish;0.3863398624;Agreement
6;HybridAgent;0.0;AgentFO2;0.0;Failed
7;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
8;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
9;HybridAgent;0.7874541052;ColmanAnacondotAgent2;0.5809455928;Agreement
10;HardlinerAgent;0.0;HybridAgent;0.0;Failed
11;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
12;HardlinerAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
13;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
14;HardlinerAgent;0.0;Agent4410;0.0;Failed
15;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
16;HardlinerAgent;0.0;AgentFO2;0.0;Failed
17;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
20;TimeDependentAgent;0.6000264631;HybridAgent;0.7407101442;Agreement
21;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
22;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
23;TimeDependentAgent;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
24;TimeDependentAgent;0.5787971571;Agent4410;0.8127501543;Agreement
25;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
26;TimeDependentAgent;0.5142312623;AgentFO2;0.8412469807;Agreement
