,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6673219610200001,0.38319315082494554,1.3392227030600004,350.9,20,20,0,0
LuckyAgent2022,0.6579424319449999,0.2396571114362111,0.914835627695,1486.35,20,14,6,0
DreamTeam109Agent,0.6176338473399999,0.21851984609374214,0.84813049295,3588.95,20,13,7,0
BoulwareAgent,0.6173474349850001,0.33857248784186217,1.267115124435,3171.75,20,20,0,0
AgentFO2,0.57428367305,0.3025409624237666,1.03241541826,2242.8,20,16,4,0
TimeDependentAgent,0.50431436798,0.3888929346191305,1.344072210665,980.95,20,20,0,0
HardlinerAgent,0.493797878845,0.12305254590085375,0.618561719555,4324.95,20,10,10,0
Agent4410,0.465863068295,0.28534340973421546,1.04034925917,1207.55,20,16,4,0
HybridAgent,0.448506666855,0.20267708229686723,0.70365414781,141.0,20,11,9,0
AgentFish,0.4336843817699999,0.2649820898570462,1.1527818101449998,1530.4,20,20,0,0
StupidAgent,0.248028385355,0.23693556857206702,1.1963096811350002,2.5,20,20,0,0
