;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;DreamTeam109Agent;0.6176338473399999;0.4537750849820415;0.23049664561000002;0.23049664561000002;0.2185198460937421;0.1789350564755252;0.84813049295;0.6276809012197809;0.9502059189846153;0.02784737586756314;0.3546102240153846;0.10487421311835347;20;13;0.65;0;7
1;AgentFO2;0.57428367305;0.32453825744063375;0.45813174520999994;0.45813174520999994;0.3025409624237666;0.18024249713169244;1.03241541826;0.5334792856016662;0.7178545913125001;0.16909555826386016;0.5726646815125;0.24473743977896217;20;16;0.8;0;4
2;HardlinerAgent;0.493797878845;0.4938425828492358;0.12476384070999999;0.12476384070999999;0.12305254590085372;0.12606125026664936;0.6185617195550001;0.6190266402809845;0.98759575769;0.00939696582764696;0.24952768141999998;0.04143951713638324;20;10;0.5;0;10
3;AgentFish;0.4336843817699999;0.24432278024109352;0.719097428375;0.719097428375;0.2649820898570462;0.10998935090973766;1.1527818101449998;0.1684963220848599;0.4336843817699999;0.24432278024109352;0.719097428375;0.24991169882923087;20;20;1.0;0;0
4;StupidAgent;0.248028385355;0.05600801316728246;0.94828129578;0.94828129578;0.23693556857206702;0.05949149314807358;1.196309681135;0.12044508988031462;0.248028385355;0.05600801316728246;0.94828129578;0.08888386975440328;20;20;1.0;0;0
5;HybridAgent;0.448506666855;0.41271864890111526;0.25514748095499995;0.25514748095499995;0.20267708229686723;0.19774492398684929;0.70365414781;0.6412726858304315;0.8154666670090909;0.10227126684851764;0.4639045108272727;0.14236107756670355;20;11;0.55;0;9
6;BoulwareAgent;0.617347434985;0.24046780195539538;0.64976768945;0.64976768945;0.3385724878418622;0.093512733781706;1.267115124435;0.1268121779778715;0.617347434985;0.24046780195539538;0.64976768945;0.2887497564651489;20;20;1.0;0;0
7;Agent4410;0.465863068295;0.32672048413646493;0.5744861908750001;0.5744861908750001;0.28534340973421546;0.1594920353552582;1.0403492591699999;0.5253597802656912;0.58232883536875;0.25614735786763954;0.71810773859375;0.25329085990657746;20;16;0.8;0;4
8;TimeDependentAgent;0.5043143679800001;0.18435947059184965;0.839757842685;0.839757842685;0.38889293461913044;0.08169835985104519;1.344072210665;0.07571583832015177;0.5043143679800001;0.18435947059184965;0.839757842685;0.20239193639377895;20;20;1.0;0;0
9;LuckyAgent2022;0.6579424319449999;0.4325338130310834;0.25689319574999997;0.25689319574999997;0.2396571114362111;0.17281662212334983;0.9148356276949998;0.6033202955433707;0.9399177599214285;0.04723749082951256;0.36699027964285713;0.10249970680566921;20;14;0.7;0;6
10;ColmanAnacondotAgent2;0.66732196102;0.26587275372865277;0.6719007420399999;0.6719007420399999;0.3831931508249456;0.08626919388190636;1.33922270306;0.07391438171681122;0.66732196102;0.26587275372865277;0.6719007420399999;0.2552194243729939;20;20;1.0;0;0
