;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;DreamTeam109Agent;0.5765663064388887;0.46050954351160783;0.19045675778888888;0.19045675778888888;0.17942713831181686;0.15683425865973308;0.7670230642277777;0.6156366846020754;0.943472137809091;0.02926834141761772;0.3116565127454545;0.08698398769037344;18;11;0.6111111111111112;0;7
1;TimeDependentAgent;0.46996702189444445;0.20171609086156922;0.8151526927722222;0.8151526927722222;0.3454761460645043;0.07893182197129482;1.2851197146666666;0.08819882770021671;0.46996702189444445;0.20171609086156922;0.8151526927722222;0.20573557443720766;18;18;1.0;0;0
2;AgentFish;0.4139472023333333;0.20910673594213786;0.7093014837055556;0.7093014837055556;0.25973158882600655;0.12104784840051931;1.1232486860388888;0.20596887256763496;0.4139472023333333;0.20910673594213786;0.7093014837055556;0.25780050694284684;18;18;1.0;0;0
3;HardlinerAgent;0.4945338279611111;0.4945909514889728;0.12513903511111113;0.12513903511111113;0.12355746477556864;0.1269669959379559;0.6196728630722222;0.6201712878977754;0.9890676559222222;0.010630361884493417;0.25027807022222226;0.04446305207823945;18;9;0.5;0;9
4;Agent4410;0.49260709177222217;0.3671462368170805;0.3789755431833334;0.3789755431833334;0.2222860295966601;0.16150166751158976;0.8715826349555557;0.551776346242775;0.6820713578384615;0.23961002385788832;0.5247353674846154;0.24463237938494742;18;13;0.7222222222222222;0;5
5;ColmanAnacondotAgent2;0.6076006593444445;0.3369866502178406;0.5527660028555555;0.5527660028555555;0.31195199588532696;0.14693422089343158;1.1603666622000002;0.421236140431696;0.6835507417625;0.2753893018154236;0.6218617532124999;0.28756233476564724;18;16;0.8888888888888888;0;2
6;StupidAgent;0.22997236990555553;0.05700279973753116;0.9355035681388889;0.9355035681388889;0.21827040314639848;0.06192830563474948;1.1654759380444444;0.1367278483172142;0.22997236990555553;0.05700279973753116;0.9355035681388889;0.09583488026156445;18;18;1.0;0;0
7;BoulwareAgent;0.6068107372944445;0.2571129081789383;0.627472378061111;0.627472378061111;0.3196127369279289;0.11082274709064464;1.2342831153555556;0.1668724327715673;0.6068107372944445;0.2571129081789383;0.627472378061111;0.2898755597447544;18;18;1.0;0;0
8;AgentFO2;0.5481384107666667;0.3632337634178627;0.3295175235277778;0.3295175235277778;0.23565831522854624;0.17152684003574026;0.8776559342944444;0.558401679875745;0.7589608764461538;0.15059363576150955;0.45625503257692307;0.1970299030845687;18;13;0.7222222222222222;0;5
9;HybridAgent;0.46438010973888894;0.42190427663798624;0.2402387523055555;0.2402387523055555;0.19613772593472498;0.18995305750963462;0.7046188620444443;0.6356028509831296;0.8358841975300001;0.09935490556269895;0.4324297541499999;0.13855183249982042;18;10;0.5555555555555556;0;8
