;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;HybridAgent;0.0;HardlinerAgent;0.0;Failed
1;HybridAgent;0.7261651677;TimeDependentAgent;0.4402720284;Agreement
2;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
3;HybridAgent;0.8723447992;ColmanAnacondotAgent2;0.5566990027;Agreement
4;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
5;HybridAgent;0.0;Agent4410;0.0;Failed
6;HybridAgent;0.7874541052;AgentFish;0.5809455928;Agreement
7;HybridAgent;0.0;AgentFO2;0.0;Failed
8;HybridAgent;0.745597914;BoulwareAgent;0.4139753488;Agreement
9;HardlinerAgent;0.0;HybridAgent;0.0;Failed
10;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
11;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
12;HardlinerAgent;0.0;ColmanAnacondotAgent2;0.0;Failed
13;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
14;HardlinerAgent;0.0;Agent4410;0.0;Failed
15;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
16;HardlinerAgent;0.0;AgentFO2;0.0;Failed
17;HardlinerAgent;1.0;BoulwareAgent;0.2061406266;Agreement
18;TimeDependentAgent;0.3767834864;HybridAgent;0.9472565835;Agreement
19;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
20;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
21;TimeDependentAgent;0.3284766012;ColmanAnacondotAgent2;0.9083029296;Agreement
22;TimeDependentAgent;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
23;TimeDependentAgent;0.4659243771;Agent4410;0.8022933268;Agreement
24;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
25;TimeDependentAgent;0.3980127924;AgentFO2;0.8752165734;Agreement
26;TimeDependentAgent;0.3284766012;BoulwareAgent;0.9083029296;Agreement
27;StupidAgent;0.3122175916;HybridAgent;0.9757534099;Agreement
28;StupidAgent;0.2273268976;HardlinerAgent;1.0;Agreement
29;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
30;StupidAgent;0.2309392224;ColmanAnacondotAgent2;0.9696269791;Agreement
31;StupidAgent;0.2951496152;DreamTeam109Agent;0.9117644235;Agreement
32;StupidAgent;0.2561419156;Agent4410;0.8470742696;Agreement
33;StupidAgent;0.1533004228;AgentFish;0.6859707418;Agreement
34;StupidAgent;0.2309392224;AgentFO2;0.9696269791;Agreement
35;StupidAgent;0.3122175916;BoulwareAgent;0.9757534099;Agreement
36;ColmanAnacondotAgent2;0.0;HybridAgent;0.0;Failed
37;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
38;ColmanAnacondotAgent2;0.8293141052;TimeDependentAgent;0.3309240532;Agreement
39;ColmanAnacondotAgent2;0.978770694;StupidAgent;0.2781806367;Agreement
40;ColmanAnacondotAgent2;0.3334468976;DreamTeam109Agent;0.9037133998;Agreement
41;ColmanAnacondotAgent2;0.3851871292;Agent4410;0.8935333512;Agreement
42;ColmanAnacondotAgent2;0.9453143368;AgentFish;0.474478944;Agreement
43;ColmanAnacondotAgent2;0.79106643;AgentFO2;0.5505725719;Agreement
44;ColmanAnacondotAgent2;0.936910694;BoulwareAgent;0.5282021763;Agreement
45;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
46;DreamTeam109Agent;0.0;HardlinerAgent;0.0;Failed
47;DreamTeam109Agent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
48;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
