;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.6000264631;HybridAgent;0.7407101442;Agreement
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
3;LuckyAgent2022;0.95814;TimeDependentAgent;0.4561621662;Agreement
4;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
5;LuckyAgent2022;1.0;Agent4410;0.2061406266;Agreement
6;LuckyAgent2022;0.9247991232;AgentFish;0.2115914964;Agreement
7;LuckyAgent2022;0.803487776;AgentFO2;0.4809635731;Agreement
8;LuckyAgent2022;0.936910694;BoulwareAgent;0.5282021763;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.0;HardlinerAgent;0.0;Failed
11;HybridAgent;0.85202;ColmanAnacondotAgent2;0.5524487664;Agreement
12;HybridAgent;0.77358;TimeDependentAgent;0.4486787664;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;Agent4410;0.0;Failed
15;HybridAgent;0.7434938088;AgentFish;0.3518853488;Agreement
16;HybridAgent;0.0;AgentFO2;0.0;Failed
17;HybridAgent;0.8030940708;BoulwareAgent;0.515137885;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;0.0;HybridAgent;0.0;Failed
20;HardlinerAgent;0.9871743368;ColmanAnacondotAgent2;0.2244574044;Agreement
21;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
22;HardlinerAgent;1.0;StupidAgent;0.2061406266;Agreement
23;HardlinerAgent;1.0;Agent4410;0.2061406266;Agreement
24;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
25;HardlinerAgent;0.0;AgentFO2;0.0;Failed
26;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
27;ColmanAnacondotAgent2;0.5219443859;LuckyAgent2022;0.6913188338;Agreement
28;ColmanAnacondotAgent2;0.4939064631;HybridAgent;0.8369967444;Agreement
29;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
30;ColmanAnacondotAgent2;0.95814;TimeDependentAgent;0.4561621662;Agreement
31;ColmanAnacondotAgent2;0.978770694;StupidAgent;0.2781806367;Agreement
32;ColmanAnacondotAgent2;0.3767834864;Agent4410;0.9472565835;Agreement
33;ColmanAnacondotAgent2;0.9589412004;AgentFish;0.2762759289;Agreement
34;ColmanAnacondotAgent2;0.936910694;AgentFO2;0.5282021763;Agreement
35;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
36;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
37;TimeDependentAgent;0.5407648103;HybridAgent;0.7426380138;Agreement
38;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
39;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
40;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
41;TimeDependentAgent;0.5872007999;Agent4410;0.759026922;Agreement
42;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
43;TimeDependentAgent;0.5787971571;AgentFO2;0.8127501543;Agreement
44;TimeDependentAgent;0.3851871292;BoulwareAgent;0.8935333512;Agreement
45;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
46;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
47;StupidAgent;0.2273268976;HardlinerAgent;1.0;Agreement
48;StupidAgent;0.2273268976;ColmanAnacondotAgent2;1.0;Agreement
49;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
50;StupidAgent;0.298268482;Agent4410;0.8714394816;Agreement
51;StupidAgent;0.383571504;AgentFish;0.6948429325;Agreement
52;StupidAgent;0.2273268976;AgentFO2;1.0;Agreement
53;StupidAgent;0.3122175916;BoulwareAgent;0.9757534099;Agreement
54;Agent4410;0.0;LuckyAgent2022;0.0;Failed
55;Agent4410;0.0;HybridAgent;0.0;Failed
56;Agent4410;0.3122175916;HardlinerAgent;0.9757534099;Agreement
57;Agent4410;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
58;Agent4410;0.8032405164;TimeDependentAgent;0.5014179469;Agreement
59;Agent4410;0.9658531236;StupidAgent;0.3062340193;Agreement
60;Agent4410;0.4939064631;AgentFish;0.8369967444;Agreement
61;Agent4410;0.3851871292;AgentFO2;0.8935333512;Agreement
62;Agent4410;0.3767834864;BoulwareAgent;0.9472565835;Agreement
63;AgentFish;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
64;AgentFish;0.4951597403;HybridAgent;0.7475363352;Agreement
65;AgentFish;0.3122175916;HardlinerAgent;0.9757534099;Agreement
66;AgentFish;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
67;AgentFish;0.790710928;TimeDependentAgent;0.5212068427;Agreement
68;AgentFish;0.6929515249;StupidAgent;0.2103805475;Agreement
69;AgentFish;0.9453143368;Agent4410;0.474478944;Agreement
70;AgentFish;0.2341891932;AgentFO2;0.6985214439;Agreement
71;AgentFish;0.3449644988;BoulwareAgent;0.6520401776;Agreement
72;AgentFO2;0.4951597403;LuckyAgent2022;0.7475363352;Agreement
73;AgentFO2;0.5872007999;HybridAgent;0.759026922;Agreement
74;AgentFO2;0.0;HardlinerAgent;0.0;Failed
75;AgentFO2;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
76;AgentFO2;0.85202;TimeDependentAgent;0.5524487664;Agreement
77;AgentFO2;0.9658531236;StupidAgent;0.3062340193;Agreement
78;AgentFO2;0.8829391232;Agent4410;0.461613036;Agreement
79;AgentFO2;0.7472869352;AgentFish;0.0451135731;Agreement
80;AgentFO2;0.5726515249;BoulwareAgent;0.3566320871;Agreement
81;BoulwareAgent;0.4293405683;LuckyAgent2022;0.8654935708;Agreement
82;BoulwareAgent;0.5354605683;HybridAgent;0.7692069706;Agreement
83;BoulwareAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
84;BoulwareAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
85;BoulwareAgent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
86;BoulwareAgent;1.0;StupidAgent;0.2061406266;Agreement
87;BoulwareAgent;0.8676599656;Agent4410;0.4866410586;Agreement
88;BoulwareAgent;0.485256591;AgentFish;0.2571013568;Agreement
89;BoulwareAgent;0.5521789898;AgentFO2;0.612544579;Agreement
