,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6890326571333333,0.37133689140045956,1.3339398125166668,362.94444444444446,18,18,0,0
LuckyAgent2022,0.686609159611111,0.2724192722427097,1.0071852649055557,1607.888888888889,18,14,4,0
HardlinerAgent,0.6584283881555555,0.1651021624584189,0.8258525566222222,3921.6111111111113,18,12,6,0
BoulwareAgent,0.6196624541944444,0.33531232988999116,1.2411038559444445,3442.8888888888887,18,18,0,0
AgentFO2,0.6148076232722222,0.28598820703977146,1.0300789983999998,2784.1111111111113,18,15,3,0
HybridAgent,0.5426835005444445,0.24520833393699226,0.8512466747555556,139.61111111111111,18,12,6,0
TimeDependentAgent,0.5185817982166667,0.38077306096349356,1.3239129252444446,1445.6666666666667,18,18,0,0
Agent4410,0.48378142162222226,0.2948833410203658,1.08797700025,1173.1666666666667,18,15,3,0
AgentFish,0.45641799062222216,0.2768853892610333,1.1512043691666665,2221.8333333333335,18,18,0,0
StupidAgent,0.2608981257,0.24560480066563045,1.2093047803388888,2.5,18,18,0,0
