,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
LuckyAgent2022,0.64443476685,0.21978462008919825,0.892300629655,1554.1,20,14,6,0
ColmanAnacondotAgent2,0.62716700716,0.3488723825795819,1.3090621420550002,435.3,20,20,0,0
BoulwareAgent,0.593625241265,0.3112001792699569,1.2222797279700004,3053.5,20,20,0,0
DreamTeam109Agent,0.5663193888999999,0.19713615456201802,0.7752305341450001,3181.3,20,12,8,0
AgentFO2,0.5637891361249999,0.26271639276035946,0.9342838461799999,2306.45,20,15,5,0
HybridAgent,0.5273405901449999,0.2326862567891031,0.8236841509199999,140.2,20,13,7,0
TimeDependentAgent,0.498389442125,0.3755607903093941,1.3212451119550002,1110.5,20,20,0,0
HardlinerAgent,0.49629277466999994,0.11764272552628852,0.6149804028999999,4105.65,20,10,10,0
Agent4410,0.46176777106000005,0.265655533684095,1.01909214478,1212.75,20,16,4,0
AgentFish,0.41152356723,0.27138850248481006,1.1589748472749999,1444.65,20,20,0,0
StupidAgent,0.23946851555999998,0.224889270837554,1.189102864345,2.5,20,20,0,0
