;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;LuckyAgent2022;0.652045076575;0.4288404048701902;0.275766266;0.275766266;0.25469881921490317;0.182878180445103;0.927811342575;0.6118089558208644;0.9314929665357141;0.04915677603447498;0.39395180857142853;0.10717777911367746;20;14;0.7;0;6
1;DreamTeam109Agent;0.6294641279300001;0.4412539802534608;0.28481862936;0.28481862936;0.23449615436752316;0.17265986171900385;0.91428275729;0.6036612514331512;0.8992344684714286;0.1885823917671459;0.4068837562285714;0.1871184530356936;20;14;0.7;0;6
2;Agent4410;0.45635258215999996;0.3034649947368981;0.650156208535;0.650156208535;0.2934678376429683;0.15361633332860425;1.106508790695;0.4747619928170517;0.5368853907764706;0.25515773177053613;0.7648896571;0.27691267840126;20;17;0.85;0;3
3;HardlinerAgent;0.59194426618;0.48337275671271207;0.15053827696000002;0.15053827696000002;0.14830453079899797;0.12520108167439087;0.7424825431400001;0.6068776558222445;0.9865737769666665;0.009178394600088086;0.2508971282666667;0.04387286228500026;20;12;0.6;0;8
4;BoulwareAgent;0.6143057705749999;0.24551683394311746;0.6341395506250002;0.6341395506250002;0.32911922446123204;0.0889733925726109;1.2484453211999997;0.1439171020625649;0.6143057705749999;0.24551683394311746;0.6341395506250002;0.2851426628754809;20;20;1.0;0;0
5;HybridAgent;0.498222812175;0.41590963049659685;0.24730847345;0.24730847345;0.19885575160381372;0.175172057007465;0.745531285625;0.6127506742316131;0.8303713536249999;0.11177984581885503;0.41218078908333333;0.13182178856533053;20;12;0.6;0;8
6;AgentFO2;0.58904751626;0.29240264433747265;0.48795994895999995;0.48795994895999995;0.3109188689201786;0.1518890146254504;1.07700746522;0.4659523839745471;0.6929970779529412;0.1689694552417994;0.5740705281882352;0.22392030612020944;20;17;0.85;0;3
7;TimeDependentAgent;0.505193390975;0.19904027032306576;0.8182254276999998;0.8182254276999998;0.373366370126586;0.07406466698717311;1.3234188186749998;0.07044973891005256;0.505193390975;0.19904027032306576;0.8182254276999998;0.21292616807830084;20;20;1.0;0;0
8;ColmanAnacondotAgent2;0.64359131904;0.28791919710854186;0.68868364512;0.68868364512;0.36638005143354885;0.10243690745058068;1.33227496416;0.0886237043500632;0.64359131904;0.28791919710854186;0.68868364512;0.2804607373058026;20;20;1.0;0;0
9;AgentFish;0.46682784326000004;0.25254220078204526;0.7119728813700001;0.7119728813700001;0.2843320006644886;0.10699531562878764;1.1788007246300003;0.17119386718927643;0.46682784326000004;0.25254220078204526;0.7119728813700001;0.24820013093778465;20;20;1.0;0;0
10;StupidAgent;0.24642793428499998;0.04758359370952163;0.9438533313349999;0.9438533313349999;0.23285490137027312;0.05083854551813959;1.19028126562;0.10485457670028936;0.24642793428499998;0.04758359370952163;0.9438533313349999;0.09057667769319643;20;20;1.0;0;0
