,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
LuckyAgent2022,0.6520450765750001,0.2546988192149032,0.927811342575,1711.0,20,14,6,0
ColmanAnacondotAgent2,0.64359131904,0.3663800514335488,1.3322749641600002,398.75,20,20,0,0
DreamTeam109Agent,0.6294641279300001,0.23449615436752316,0.9142827572900002,4435.0,20,14,6,0
BoulwareAgent,0.614305770575,0.32911922446123193,1.2484453212000004,4298.6,20,20,0,0
HardlinerAgent,0.5919442661799998,0.148304530798998,0.7424825431400002,5635.0,20,12,8,0
AgentFO2,0.58904751626,0.3109188689201786,1.07700746522,3694.6,20,17,3,0
TimeDependentAgent,0.505193390975,0.373366370126586,1.323418818675,2007.45,20,20,0,0
HybridAgent,0.498222812175,0.19885575160381372,0.745531285625,152.1,20,12,8,0
AgentFish,0.46682784326000004,0.2843320006644886,1.1788007246300003,2974.75,20,20,0,0
Agent4410,0.4563525821599999,0.2934678376429683,1.1065087906950002,1243.45,20,17,3,0
StupidAgent,0.24642793428499998,0.23285490137027315,1.1902812656200004,2.5,20,20,0,0
