;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.0;HybridAgent;0.0;Failed
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
3;LuckyAgent2022;0.9453143368;TimeDependentAgent;0.474478944;Agreement
4;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
5;LuckyAgent2022;0.8886038088;Agent4410;0.4892485224;Agreement
6;LuckyAgent2022;0.9871743368;AgentFish;0.2244574044;Agreement
7;LuckyAgent2022;0.79106643;AgentFO2;0.5505725719;Agreement
8;LuckyAgent2022;0.95814;BoulwareAgent;0.4561621662;Agreement
9;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
10;HybridAgent;0.0;HardlinerAgent;0.0;Failed
11;HybridAgent;0.8556323248;ColmanAnacondotAgent2;0.5220757455;Agreement
12;HybridAgent;0.8343124524;TimeDependentAgent;0.4865868622;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;Agent4410;0.0;Failed
15;HybridAgent;0.7558724524;AgentFish;0.3828168622;Agreement
16;HybridAgent;0.7177615249;AgentFO2;0.4939952607;Agreement
17;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
18;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
19;HardlinerAgent;0.0;HybridAgent;0.0;Failed
20;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
21;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
22;HardlinerAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
23;HardlinerAgent;1.0;Agent4410;0.2061406266;Agreement
24;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
25;HardlinerAgent;0.0;AgentFO2;0.0;Failed
26;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
27;ColmanAnacondotAgent2;0.5354605683;LuckyAgent2022;0.7692069706;Agreement
28;ColmanAnacondotAgent2;0.3767834864;HybridAgent;0.9472565835;Agreement
29;ColmanAnacondotAgent2;0.3122175916;HardlinerAgent;0.9757534099;Agreement
30;ColmanAnacondotAgent2;0.8552768228;TimeDependentAgent;0.4927100163;Agreement
31;ColmanAnacondotAgent2;0.9871743368;StupidAgent;0.2244574044;Agreement
32;ColmanAnacondotAgent2;0.3851871292;Agent4410;0.8935333512;Agreement
33;ColmanAnacondotAgent2;0.95814;AgentFish;0.4561621662;Agreement
34;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
35;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
36;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
37;TimeDependentAgent;0.3851871292;HybridAgent;0.8935333512;Agreement
38;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
39;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
40;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
41;TimeDependentAgent;0.5787971571;Agent4410;0.8127501543;Agreement
42;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
43;TimeDependentAgent;0.4293405683;AgentFO2;0.8654935708;Agreement
44;TimeDependentAgent;0.3851871292;BoulwareAgent;0.8935333512;Agreement
45;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
46;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
47;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
48;StupidAgent;0.3206212344;ColmanAnacondotAgent2;0.9220301776;Agreement
49;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
50;StupidAgent;0.3980127924;Agent4410;0.8752165734;Agreement
51;StupidAgent;0.4301417687;AgentFish;0.6856073335;Agreement
52;StupidAgent;0.2309392224;AgentFO2;0.9696269791;Agreement
53;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
54;Agent4410;0.0;LuckyAgent2022;0.0;Failed
55;Agent4410;0.0;HybridAgent;0.0;Failed
56;Agent4410;0.0;HardlinerAgent;0.0;Failed
57;Agent4410;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
58;Agent4410;0.8552768228;TimeDependentAgent;0.4927100163;Agreement
59;Agent4410;0.9593346844;StupidAgent;0.2120777067;Agreement
60;Agent4410;0.4011267508;AgentFish;0.6772665835;Agreement
61;Agent4410;0.5142312623;AgentFO2;0.8412469807;Agreement
62;Agent4410;0.3767834864;BoulwareAgent;0.9472565835;Agreement
63;AgentFish;0.2582460208;LuckyAgent2022;0.9091642696;Agreement
64;AgentFish;0.2818983684;HybridAgent;0.7557131225;Agreement
65;AgentFish;0.2273268976;HardlinerAgent;1.0;Agreement
66;AgentFish;0.3122175916;ColmanAnacondotAgent2;0.9757534099;Agreement
67;AgentFish;0.7874541052;TimeDependentAgent;0.5809455928;Agreement
68;AgentFish;0.6950556301;StupidAgent;0.2724705475;Agreement
69;AgentFish;0.8723447992;Agent4410;0.5566990027;Agreement
70;AgentFish;0.3190056092;AgentFO2;0.7233397589;Agreement
71;AgentFish;0.238229742;BoulwareAgent;0.6712285545;Agreement
72;AgentFO2;0.5354605683;LuckyAgent2022;0.7692069706;Agreement
73;AgentFO2;0.5872007999;HybridAgent;0.759026922;Agreement
74;AgentFO2;0.0;HardlinerAgent;0.0;Failed
75;AgentFO2;0.95814;ColmanAnacondotAgent2;0.4561621662;Agreement
76;AgentFO2;0.85202;TimeDependentAgent;0.5524487664;Agreement
77;AgentFO2;0.9589412004;StupidAgent;0.2762759289;Agreement
78;AgentFO2;0.6489045017;Agent4410;0.4182598311;Agreement
79;AgentFO2;0.7333573696;AgentFish;0.2071855928;Agreement
