,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
ColmanAnacondotAgent2,0.6711423730166667,0.3779784750931027,1.3357693010555556,341.55555555555554,18,18,0,0
LuckyAgent2022,0.6524942746722222,0.25755810971152837,0.9424915333333335,1544.7222222222222,18,13,5,0
AgentFO2,0.6401425930111111,0.30850120653562507,1.0957431822944446,2454.722222222222,18,16,2,0
BoulwareAgent,0.6200492209722221,0.29565441095397893,1.2024099229499998,3155.8333333333335,18,18,0,0
HardlinerAgent,0.6028728325999999,0.15247289036953002,0.7576677289777778,3827.777777777778,18,11,7,0
HybridAgent,0.5573275591666667,0.22290031510816938,0.8296863125666666,135.27777777777777,18,12,6,0
TimeDependentAgent,0.5081400678111111,0.37942175082448076,1.32813845845,1526.3333333333333,18,18,0,0
Agent4410,0.4721811265333332,0.2743549481105656,0.9963776961444444,1172.2777777777778,18,14,4,0
AgentFish,0.42958743588888887,0.27258541381072604,1.1473789697055554,2134.5555555555557,18,18,0,0
StupidAgent,0.2689975912111111,0.24932015006035238,1.2102070442888888,2.5,18,18,0,0
