;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;HardlinerAgent;0.6028728325999999;0.4809845118494711;0.15479489637777777;0.15479489637777777;0.15247289036953002;0.12601369889215738;0.7576677289777778;0.6050930997319232;0.9865191806181817;0.009584654727654057;0.2533007395272727;0.04506089488356472;18;11;0.6111111111111112;0;7
1;StupidAgent;0.2689975912111111;0.06452597435853127;0.9412094530777778;0.9412094530777778;0.24932015006035232;0.04568709013884967;1.2102070442888888;0.0722008385732806;0.2689975912111111;0.06452597435853127;0.9412094530777778;0.09367609625278689;18;18;1.0;0;0
2;Agent4410;0.47218112653333333;0.34293912681165006;0.5241965696111112;0.5241965696111112;0.2743549481105656;0.17289825907134354;0.9963776961444446;0.543243323300661;0.6070900198285714;0.2632631229520968;0.6739670180714287;0.24138475228897238;18;14;0.7777777777777778;0;4
3;AgentFish;0.42958743588888887;0.24593721888307266;0.7177915338166666;0.7177915338166666;0.27258541381072604;0.11725605332144397;1.1473789697055554;0.18900229580418712;0.42958743588888887;0.24593721888307266;0.7177915338166666;0.21627383937029948;18;18;1.0;0;0
4;HybridAgent;0.5573275591666667;0.40217782933755597;0.2723587534;0.2723587534;0.22290031510816938;0.17147482716280768;0.8296863125666667;0.5918067801437148;0.83599133875;0.09828531660933226;0.40853813009999995;0.11737159976199087;18;12;0.6666666666666666;0;6
5;LuckyAgent2022;0.6524942746722222;0.40995250916050474;0.28999725866111103;0.28999725866111103;0.2575581097115283;0.17683373573610486;0.9424915333333332;0.5891347784937432;0.9034536110846154;0.0772645467919783;0.4015346658384615;0.11767007889548727;18;13;0.7222222222222222;0;5
6;ColmanAnacondotAgent2;0.6711423730166667;0.26225200247527003;0.6646269280388889;0.6646269280388889;0.37797847509310273;0.08539553191638613;1.3357693010555556;0.07768834885949762;0.6711423730166667;0.26225200247527003;0.6646269280388889;0.27096310425889175;18;18;1.0;0;0
7;AgentFO2;0.6401425930111111;0.27247573805561454;0.4556005892833334;0.4556005892833334;0.3085012065356251;0.148451569993521;1.0957431822944446;0.41649781950077597;0.7201604171375;0.1609277375292262;0.51255066294375;0.21100791379873995;18;16;0.8888888888888888;0;2
8;TimeDependentAgent;0.5081400678111111;0.19148180853775804;0.8199983906388888;0.8199983906388888;0.3794217508244808;0.07741735898109672;1.3281384584499998;0.06171407416949863;0.5081400678111111;0.19148180853775804;0.8199983906388888;0.20407821527355663;18;18;1.0;0;0
9;BoulwareAgent;0.6200492209722223;0.2678971704875242;0.5823607019777778;0.5823607019777778;0.29565441095397893;0.11328289411298975;1.20240992295;0.18513664676361083;0.6200492209722223;0.2678971704875242;0.5823607019777778;0.30558544023563966;18;18;1.0;0;0
