;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;BoulwareAgent;0.6078912996055555;0.25480631864272973;0.6150018719444446;0.6150018719444446;0.3058306743828261;0.09133620318822742;1.22289317155;0.13984853812648348;0.6078912996055555;0.25480631864272973;0.6150018719444446;0.3011288415653962;18;18;1.0;0;0
1;TimeDependentAgent;0.49470620647777785;0.1887608037168121;0.8219660392555554;0.8219660392555554;0.36977756176897575;0.07136157385945102;1.3166722457333335;0.06521612986882243;0.49470620647777785;0.1887608037168121;0.8219660392555554;0.20574445631573876;18;18;1.0;0;0
2;HybridAgent;0.5240035464;0.4249277096493357;0.2622732995166667;0.2622732995166667;0.22080293021066813;0.18595426504569426;0.7862768459166667;0.6310104248339642;0.8574603486545456;0.09768139608599861;0.4291744901181818;0.10775190893783876;18;11;0.6111111111111112;0;7
3;StupidAgent;0.24540329811111108;0.04476017982591987;0.9335601007833334;0.9335601007833334;0.22886614572316566;0.04610336623061296;1.1789633988944443;0.10474977593005395;0.24540329811111108;0.04476017982591987;0.9335601007833334;0.09712984014894203;18;18;1.0;0;0
4;AgentFO2;0.5408333408555555;0.3606011553707674;0.3771550477222222;0.3771550477222222;0.26431851627183334;0.18347816849721102;0.9179883885777779;0.5836354120394027;0.7488461642615385;0.15580871274221098;0.5222146814615385;0.22078715764108364;18;13;0.7222222222222222;0;5
5;HardlinerAgent;0.5493768466722222;0.49143526252943437;0.13760889091111111;0.13760889091111111;0.1358673864049253;0.12511887763301652;0.6869857375833334;0.614992597733557;0.9888783240099999;0.010100829350733182;0.24769600364;0.04288671484989575;18;10;0.5555555555555556;0;8
6;DreamTeam109Agent;0.6331634051722221;0.44822625188815945;0.2335369365444445;0.2335369365444445;0.221566123867426;0.17296017441446576;0.8667003417166667;0.6177517949753704;0.9497451077583333;0.026234254050741684;0.3503054048166667;0.09520446285802192;18;12;0.6666666666666666;0;6
7;Agent4410;0.45245927468333336;0.38638213177274455;0.3512246608833334;0.3512246608833334;0.19531625669852837;0.15587273891613176;0.8036839355666667;0.5766146894862084;0.678688912025;0.2653246712890639;0.5268369913249998;0.2703086136335888;18;12;0.6666666666666666;0;6
8;AgentFish;0.43216875297777774;0.19785296950445408;0.7195248137111112;0.7195248137111112;0.28104001257857625;0.09926631011481792;1.1516935666888888;0.17519109871761884;0.43216875297777774;0.19785296950445408;0.7195248137111112;0.22666799802177828;18;18;1.0;0;0
9;ColmanAnacondotAgent2;0.6527201993333333;0.2810762626257153;0.6808745090166667;0.6808745090166667;0.37039149181534264;0.08806219232137792;1.3335947083500002;0.08202212256867959;0.6527201993333333;0.2810762626257153;0.6808745090166667;0.27528507050153384;18;18;1.0;0;0
