;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
76;AgentFO2;0.85202;ColmanAnacondotAgent2;0.5524487664;Agreement
77;AgentFO2;0.0;DreamTeam109Agent;0.0;Failed
78;AgentFO2;0.0;Agent4410;0.0;Failed
79;AgentFO2;0.6605508309;AgentFish;0.3181852506;Agreement
80;AgentFO2;0.8556323248;BoulwareAgent;0.5220757455;Agreement
81;BoulwareAgent;0.5095464287;HybridAgent;0.7711890366;Agreement
82;BoulwareAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
83;BoulwareAgent;0.95814;TimeDependentAgent;0.4561621662;Agreement
84;BoulwareAgent;1.0;StupidAgent;0.2061406266;Agreement
85;BoulwareAgent;0.3851871292;ColmanAnacondotAgent2;0.8935333512;Agreement
86;BoulwareAgent;0.2639107064;DreamTeam109Agent;0.936799756;Agreement
87;BoulwareAgent;0.954963904;Agent4410;0.2351679077;Agreement
88;BoulwareAgent;0.6425203981;AgentFish;0.2789308145;Agreement
89;BoulwareAgent;0.5215864631;AgentFO2;0.6369401442;Agreement
