,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
DreamTeam109Agent,0.6105123361799999,0.20033229066770128,0.82410822339,3197.15,20,13,7,0
ColmanAnacondotAgent2,0.597804615305,0.354730051640601,1.3125913057450003,359.45,20,20,0,0
AgentFO2,0.59308943329,0.24504835072665282,0.9589889314750002,1633.7,20,16,4,0
LuckyAgent2022,0.5910863946799999,0.2189496557067653,0.8391446160099999,1421.05,20,13,7,0
BoulwareAgent,0.582737295115,0.28976772740994167,1.1998889327600002,2695.8,20,20,0,0
HardlinerAgent,0.5443689251899999,0.1302654512655514,0.6761111014199999,3864.95,20,11,9,0
HybridAgent,0.5241890383350001,0.24423086039897365,0.8346366993100001,128.2,20,13,7,0
TimeDependentAgent,0.48934931512000013,0.374445044309861,1.324254310575,595.25,20,20,0,0
Agent4410,0.47238881600499993,0.24753648609196266,0.9950931326200001,1109.0,20,16,4,0
AgentFish,0.38469260675499994,0.25371954771407246,1.1307497201,964.75,20,20,0,0
StupidAgent,0.256107211035,0.24146743419677547,1.197085000615,2.5,20,20,0,0
