;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;LuckyAgent2022;0.6000264631;HybridAgent;0.7407101442;Agreement
1;LuckyAgent2022;0.0;HardlinerAgent;0.0;Failed
2;LuckyAgent2022;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
3;LuckyAgent2022;0.95814;TimeDependentAgent;0.4561621662;Agreement
4;LuckyAgent2022;0.9871743368;StupidAgent;0.2244574044;Agreement
5;LuckyAgent2022;0.0;DreamTeam109Agent;0.0;Failed
6;LuckyAgent2022;0.95814;Agent4410;0.4561621662;Agreement
7;LuckyAgent2022;0.9247991232;AgentFish;0.2115914964;Agreement
8;LuckyAgent2022;0.0;AgentFO2;0.0;Failed
9;LuckyAgent2022;0.9589412004;BoulwareAgent;0.2762759289;Agreement
10;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
11;HybridAgent;0.0;HardlinerAgent;0.0;Failed
12;HybridAgent;0.8030940708;ColmanAnacondotAgent2;0.515137885;Agreement
13;HybridAgent;0.8532732772;TimeDependentAgent;0.4629883572;Agreement
14;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
15;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
16;HybridAgent;0.0;Agent4410;0.0;Failed
17;HybridAgent;0.79106643;AgentFish;0.5505725719;Agreement
18;HybridAgent;0.7177615249;AgentFO2;0.4939952607;Agreement
19;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
20;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
21;HardlinerAgent;0.0;HybridAgent;0.0;Failed
22;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
23;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
24;HardlinerAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
25;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
26;HardlinerAgent;0.9871743368;Agent4410;0.2244574044;Agreement
27;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
28;HardlinerAgent;0.0;AgentFO2;0.0;Failed
29;HardlinerAgent;0.9871743368;BoulwareAgent;0.2244574044;Agreement
30;ColmanAnacondotAgent2;0.2983434864;LuckyAgent2022;0.8434865835;Agreement
31;ColmanAnacondotAgent2;0.6000264631;HybridAgent;0.7407101442;Agreement
32;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
33;ColmanAnacondotAgent2;0.880748442;TimeDependentAgent;0.5029757704;Agreement
34;ColmanAnacondotAgent2;0.9696576012;StupidAgent;0.204488944;Agreement
35;ColmanAnacondotAgent2;0.3334468976;DreamTeam109Agent;0.9037133998;Agreement
36;ColmanAnacondotAgent2;0.3767834864;Agent4410;0.9472565835;Agreement
37;ColmanAnacondotAgent2;0.9453143368;AgentFish;0.474478944;Agreement
38;ColmanAnacondotAgent2;0.3122175916;AgentFO2;0.9757534099;Agreement
39;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
40;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
41;TimeDependentAgent;0.5787971571;HybridAgent;0.8127501543;Agreement
42;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
43;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
44;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
45;TimeDependentAgent;0.3334468976;DreamTeam109Agent;0.9037133998;Agreement
46;TimeDependentAgent;0.5226349051;Agent4410;0.7875237484;Agreement
47;TimeDependentAgent;0.5142312623;AgentFish;0.8412469807;Agreement
48;TimeDependentAgent;0.4293405683;AgentFO2;0.8654935708;Agreement
49;TimeDependentAgent;0.3334468976;BoulwareAgent;0.9037133998;Agreement
50;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
51;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
52;StupidAgent;0.2273268976;HardlinerAgent;1.0;Agreement
53;StupidAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
54;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
55;StupidAgent;0.2741852448;DreamTeam109Agent;0.9056412694;Agreement
56;StupidAgent;0.299605916;Agent4410;0.8215750267;Agreement
57;StupidAgent;0.2247782408;AgentFish;0.6874320058;Agreement
58;StupidAgent;0.2309392224;AgentFO2;0.9696269791;Agreement
59;StupidAgent;0.2273268976;BoulwareAgent;1.0;Agreement
60;DreamTeam109Agent;0.0;LuckyAgent2022;0.0;Failed
61;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
62;DreamTeam109Agent;0.0;HardlinerAgent;0.0;Failed
63;DreamTeam109Agent;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
64;DreamTeam109Agent;0.9453143368;TimeDependentAgent;0.474478944;Agreement
65;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
66;DreamTeam109Agent;0.954963904;Agent4410;0.2351679077;Agreement
67;DreamTeam109Agent;0.9446238176;AgentFish;0.3782740294;Agreement
68;DreamTeam109Agent;0.9453143368;AgentFO2;0.474478944;Agreement
69;DreamTeam109Agent;0.9658531236;BoulwareAgent;0.3062340193;Agreement
70;Agent4410;0.0;LuckyAgent2022;0.0;Failed
71;Agent4410;0.0;HybridAgent;0.0;Failed
72;Agent4410;0.0;HardlinerAgent;0.0;Failed
73;Agent4410;0.936910694;ColmanAnacondotAgent2;0.5282021763;Agreement
74;Agent4410;0.8680536708;TimeDependentAgent;0.4524667467;Agreement
75;Agent4410;0.95814;StupidAgent;0.4561621662;Agreement
76;Agent4410;0.2309392224;DreamTeam109Agent;0.9696269791;Agreement
77;Agent4410;0.7954954;AgentFish;0.2390715326;Agreement
78;Agent4410;0.3101134864;AgentFO2;0.9136634099;Agreement
79;Agent4410;0.3122175916;BoulwareAgent;0.9757534099;Agreement
80;AgentFish;0.2429668632;LuckyAgent2022;0.9341922922;Agreement
81;AgentFish;0.3775846868;HybridAgent;0.7673703462;Agreement
82;AgentFish;0.2273268976;HardlinerAgent;1.0;Agreement
83;AgentFish;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
84;AgentFish;0.7889623248;TimeDependentAgent;0.4884825719;Agreement
85;AgentFish;0.6987682005;StupidAgent;0.180462077;Agreement
86;AgentFish;0.2431133088;DreamTeam109Agent;0.9204723541;Agreement
87;AgentFish;0.240862758;Agent4410;0.8721022922;Agreement
88;AgentFish;0.33955234;AgentFO2;0.6972582057;Agreement
89;AgentFish;0.30310096;BoulwareAgent;0.6265887141;Agreement
90;AgentFO2;0.5142312623;LuckyAgent2022;0.8412469807;Agreement
91;AgentFO2;0.5872007999;HybridAgent;0.759026922;Agreement
92;AgentFO2;0.0;HardlinerAgent;0.0;Failed
93;AgentFO2;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
94;AgentFO2;0.936910694;TimeDependentAgent;0.5282021763;Agreement
95;AgentFO2;0.9612539584;StupidAgent;0.2582121763;Agreement
96;AgentFO2;0.0;DreamTeam109Agent;0.0;Failed
97;AgentFO2;0.6485107965;Agent4410;0.452434143;Agreement
98;AgentFO2;0.7323459784;AgentFish;0.0962469106;Agreement
99;AgentFO2;0.5448740643;BoulwareAgent;0.4554437484;Agreement
100;BoulwareAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
101;BoulwareAgent;0.5872007999;HybridAgent;0.759026922;Agreement
102;BoulwareAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
103;BoulwareAgent;0.3851871292;ColmanAnacondotAgent2;0.8935333512;Agreement
104;BoulwareAgent;0.95814;TimeDependentAgent;0.4561621662;Agreement
105;BoulwareAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
106;BoulwareAgent;0.307532758;DreamTeam109Agent;0.9056954658;Agreement
107;BoulwareAgent;0.9304638088;Agent4410;0.2392269828;Agreement
108;BoulwareAgent;0.6271279041;AgentFish;0.1514584332;Agreement
109;BoulwareAgent;0.4357972094;AgentFO2;0.5461913319;Agreement
