;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;AgentFish;0.38469260675499994;0.21291115224746618;0.746057113345;0.746057113345;0.25371954771407246;0.1106653138615551;1.1307497200999999;0.18423030111320404;0.38469260675499994;0.21291115224746618;0.746057113345;0.23489542590346518;20;20;1.0;0;0
1;HybridAgent;0.5241890383350001;0.39138180840486386;0.31044766097499993;0.31044766097499993;0.24423086039897365;0.1921814150745121;0.8346366993100002;0.6157230398766048;0.8064446743615385;0.0896524017171671;0.4776117861153846;0.1303500090441956;20;13;0.65;0;7
2;TimeDependentAgent;0.48934931512000013;0.18431215864859443;0.8349049954549999;0.8349049954549999;0.374445044309861;0.07588761457342601;1.324254310575;0.07096853594351535;0.48934931512000013;0.18431215864859443;0.8349049954549999;0.19823180390865977;20;20;1.0;0;0
3;AgentFO2;0.5930894332900001;0.34347628817481185;0.365899498185;0.365899498185;0.24504835072665282;0.15610665477178567;0.9589889314750002;0.5020987999007408;0.7413617916124999;0.19376916540139663;0.45737437273125;0.23606721557741128;20;16;0.8;0;4
4;Agent4410;0.47238881600499993;0.3531894029105359;0.522704316615;0.522704316615;0.24753648609196266;0.15030147144215836;0.9950931326200001;0.5091595349213118;0.5904860200062501;0.2935876273718152;0.65338039576875;0.2849607458273789;20;16;0.8;0;4
5;LuckyAgent2022;0.59108639468;0.44101892768811113;0.24805822133000005;0.24805822133000005;0.2189496557067653;0.17735997404608134;0.8391446160099999;0.6207916701100644;0.9093636841230768;0.0989818868724531;0.3816280328153846;0.14196359911697615;20;13;0.65;0;7
6;StupidAgent;0.25610721103499995;0.06503519238109237;0.94097778958;0.94097778958;0.24146743419677547;0.06610746140874102;1.197085000615;0.11680310608632362;0.25610721103499995;0.06503519238109237;0.94097778958;0.0919832355391022;20;20;1.0;0;0
7;HardlinerAgent;0.5443689251899999;0.4924431315286689;0.13174217623;0.13174217623;0.1302654512655514;0.12026016906361026;0.67611110142;0.6119330316877656;0.9897616821636362;0.008765779394127357;0.2395312295090909;0.03472552768077784;20;11;0.55;0;9
8;DreamTeam109Agent;0.6105123361799999;0.4485981409589155;0.21359588720999997;0.21359588720999997;0.20033229066770125;0.16279549475113295;0.8241082233899999;0.6092676047997561;0.9392497479692306;0.02887764135331794;0.3286090572461538;0.09233425028800421;20;13;0.65;0;7
9;ColmanAnacondotAgent2;0.5978046153050001;0.2867404501598571;0.7147866904400001;0.7147866904400001;0.354730051640601;0.09577849862121453;1.312591305745;0.09039138733976287;0.5978046153050001;0.2867404501598571;0.7147866904400001;0.26663829221131025;20;20;1.0;0;0
10;BoulwareAgent;0.582737295115;0.2696610482195834;0.617151637645;0.617151637645;0.2897677274099417;0.09047546030299605;1.19988893276;0.15911354985852538;0.582737295115;0.2696610482195834;0.617151637645;0.3038735559338677;20;20;1.0;0;0
