;AgentA;AgentAUtility;AgentB;AgentBUtility;Result
0;ColmanAnacondotAgent2;0.3767834864;HybridAgent;0.9472565835;Agreement
1;ColmanAnacondotAgent2;0.2273268976;HardlinerAgent;1.0;Agreement
2;ColmanAnacondotAgent2;0.858470694;TimeDependentAgent;0.4244321763;Agreement
3;ColmanAnacondotAgent2;0.9677895672;StupidAgent;0.2168511299;Agreement
4;ColmanAnacondotAgent2;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
5;ColmanAnacondotAgent2;0.3980127924;Agent4410;0.8752165734;Agreement
6;ColmanAnacondotAgent2;0.936910694;AgentFish;0.5282021763;Agreement
7;ColmanAnacondotAgent2;0.8723447992;AgentFO2;0.5566990027;Agreement
8;ColmanAnacondotAgent2;0.8723447992;BoulwareAgent;0.5566990027;Agreement
9;ColmanAnacondotAgent2;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
10;HybridAgent;0.8723447992;ColmanAnacondotAgent2;0.5566990027;Agreement
11;HybridAgent;0.0;HardlinerAgent;0.0;Failed
12;HybridAgent;0.936910694;TimeDependentAgent;0.5282021763;Agreement
13;HybridAgent;1.0;StupidAgent;0.2061406266;Agreement
14;HybridAgent;0.0;DreamTeam109Agent;0.0;Failed
15;HybridAgent;0.0;Agent4410;0.0;Failed
16;HybridAgent;0.7153897948;AgentFish;0.3771119008;Agreement
17;HybridAgent;0.0;AgentFO2;0.0;Failed
18;HybridAgent;0.7389908309;BoulwareAgent;0.4219552506;Agreement
19;HybridAgent;0.0;LuckyAgent2022;0.0;Failed
20;HardlinerAgent;1.0;ColmanAnacondotAgent2;0.2061406266;Agreement
21;HardlinerAgent;0.0;HybridAgent;0.0;Failed
22;HardlinerAgent;0.9871743368;TimeDependentAgent;0.2244574044;Agreement
23;HardlinerAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
24;HardlinerAgent;0.0;DreamTeam109Agent;0.0;Failed
25;HardlinerAgent;0.0;Agent4410;0.0;Failed
26;HardlinerAgent;0.9871743368;AgentFish;0.2244574044;Agreement
27;HardlinerAgent;0.0;AgentFO2;0.0;Failed
28;HardlinerAgent;1.0;BoulwareAgent;0.2061406266;Agreement
29;HardlinerAgent;0.0;LuckyAgent2022;0.0;Failed
30;TimeDependentAgent;0.3767834864;ColmanAnacondotAgent2;0.9472565835;Agreement
31;TimeDependentAgent;0.5142312623;HybridAgent;0.8412469807;Agreement
32;TimeDependentAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
33;TimeDependentAgent;0.9871743368;StupidAgent;0.2244574044;Agreement
34;TimeDependentAgent;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
35;TimeDependentAgent;0.5096928743;Agent4410;0.7574690985;Agreement
36;TimeDependentAgent;0.5787971571;AgentFish;0.8127501543;Agreement
37;TimeDependentAgent;0.5142312623;AgentFO2;0.8412469807;Agreement
38;TimeDependentAgent;0.3851871292;BoulwareAgent;0.8935333512;Agreement
39;TimeDependentAgent;0.3767834864;LuckyAgent2022;0.9472565835;Agreement
40;StupidAgent;0.2273268976;ColmanAnacondotAgent2;1.0;Agreement
41;StupidAgent;0.2273268976;HybridAgent;1.0;Agreement
42;StupidAgent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
43;StupidAgent;0.3122175916;TimeDependentAgent;0.9757534099;Agreement
44;StupidAgent;0.2309392224;DreamTeam109Agent;0.9696269791;Agreement
45;StupidAgent;0.2284796152;Agent4410;0.8781712499;Agreement
46;StupidAgent;0.2670827924;AgentFish;0.6878884604;Agreement
47;StupidAgent;0.3122175916;AgentFO2;0.9757534099;Agreement
48;StupidAgent;0.3122175916;BoulwareAgent;0.9757534099;Agreement
49;StupidAgent;0.3122175916;LuckyAgent2022;0.9757534099;Agreement
50;DreamTeam109Agent;0.9453143368;ColmanAnacondotAgent2;0.474478944;Agreement
51;DreamTeam109Agent;0.0;HybridAgent;0.0;Failed
52;DreamTeam109Agent;0.3122175916;HardlinerAgent;0.9757534099;Agreement
53;DreamTeam109Agent;0.95814;TimeDependentAgent;0.4561621662;Agreement
54;DreamTeam109Agent;1.0;StupidAgent;0.2061406266;Agreement
55;DreamTeam109Agent;0.95814;Agent4410;0.4561621662;Agreement
56;DreamTeam109Agent;0.9436987116;AgentFish;0.2757885253;Agreement
57;DreamTeam109Agent;0.95814;AgentFO2;0.4561621662;Agreement
58;DreamTeam109Agent;0.95814;BoulwareAgent;0.4561621662;Agreement
59;DreamTeam109Agent;0.0;LuckyAgent2022;0.0;Failed
60;Agent4410;0.85202;ColmanAnacondotAgent2;0.5524487664;Agreement
61;Agent4410;0.0;HybridAgent;0.0;Failed
62;Agent4410;0.0;HardlinerAgent;0.0;Failed
63;Agent4410;0.8723447992;TimeDependentAgent;0.5566990027;Agreement
64;Agent4410;0.9205043368;StupidAgent;0.1908642308;Agreement
65;Agent4410;0.3767834864;DreamTeam109Agent;0.9472565835;Agreement
66;Agent4410;0.33955234;AgentFish;0.6972582057;Agreement
67;Agent4410;0.2951496152;AgentFO2;0.9117644235;Agreement
68;Agent4410;0.3767834864;BoulwareAgent;0.9472565835;Agreement
69;Agent4410;0.2309392224;LuckyAgent2022;0.9696269791;Agreement
70;AgentFish;0.3122175916;ColmanAnacondotAgent2;0.9757534099;Agreement
71;AgentFish;0.3775846868;HybridAgent;0.7673703462;Agreement
72;AgentFish;0.2273268976;HardlinerAgent;1.0;Agreement
73;AgentFish;0.8723447992;TimeDependentAgent;0.5566990027;Agreement
74;AgentFish;0.6950556301;StupidAgent;0.2724705475;Agreement
75;AgentFish;0.2918927924;DreamTeam109Agent;0.9715031736;Agreement
76;AgentFish;0.790710928;Agent4410;0.5212068427;Agreement
77;AgentFish;0.2749864452;AgentFO2;0.7257550321;Agreement
