,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
DreamTeam109Agent,0.638197356335,0.2451496064561724,0.9275361628850002,3838.3,20,14,6,0
ColmanAnacondotAgent2,0.6302102095,0.36159324427899353,1.3256089468300003,441.45,20,20,0,0
BoulwareAgent,0.6001115521300001,0.3138131158410685,1.2304510746050004,3573.6,20,20,0,0
LuckyAgent2022,0.5985296652250001,0.20217281162502795,0.822500981165,1624.65,20,13,7,0
AgentFO2,0.588346763455,0.29609181042975946,1.02253047125,2733.5,20,16,4,0
HardlinerAgent,0.544439162005,0.13364699264443275,0.679653508705,4587.65,20,11,9,0
TimeDependentAgent,0.5044343744600002,0.3888730411183556,1.34232149295,1278.05,20,20,0,0
HybridAgent,0.46738719609500007,0.19662084910487254,0.70282202901,129.05,20,11,9,0
Agent4410,0.4271819836399999,0.25325058620095,0.950481478115,1237.2,20,15,5,0
AgentFish,0.42574907576000004,0.2684353687332791,1.1472076599099998,1823.55,20,20,0,0
StupidAgent,0.247230893445,0.23315859529117086,1.1925226586750002,2.5,20,20,0,0
