;Agent;Utility Mean;Utility Stdev;Opp. Utility Mean;Opp. Utility Stdev;Nash Product Mean;Nash Product Stdev;Social Welfare Mean;Social Welfare Stdev;Agreement Utility Mean;Agreement Utility Stdev;Agreement Opp. Utility Mean;Agreement Opp. Utility Stdev;Count;Agreement;AgreementRate;Error;Failed
0;LuckyAgent2022;0.5985296652249998;0.4430416735886242;0.22397131594000003;0.22397131594000003;0.202172811625028;0.1647384263980851;0.822500981165;0.607128292315507;0.9208148695769229;0.07220344194312003;0.34457125529230775;0.1181214624137772;20;13;0.65;0;7
1;BoulwareAgent;0.60011155213;0.255957792418213;0.6303395224750001;0.6303395224750001;0.3138131158410685;0.10361181650282038;1.2304510746050001;0.16138347118423885;0.60011155213;0.255957792418213;0.6303395224750001;0.2990853724147044;20;20;1.0;0;0
2;HardlinerAgent;0.544439162005;0.4925212504049881;0.1352143467;0.1352143467;0.13364699264443272;0.12419971610880161;0.679653508705;0.6152531534275881;0.9898893854636363;0.010147612861517321;0.2458442667272727;0.04130802845309408;20;11;0.55;0;9
3;StupidAgent;0.247230893445;0.04143916281602961;0.94529176523;0.94529176523;0.23315859529117083;0.04350153212051621;1.192522658675;0.09257230491106574;0.247230893445;0.04143916281602961;0.94529176523;0.08913973416687053;20;20;1.0;0;0
4;Agent4410;0.42718198364;0.3301434280175526;0.523299494475;0.523299494475;0.25325058620095;0.1724062907479055;0.950481478115;0.5587835058318925;0.5695759781866666;0.2534206884854051;0.6977326593000001;0.264702590662004;20;15;0.75;0;5
5;DreamTeam109Agent;0.638197356335;0.44051407688800376;0.28933880655;0.28933880655;0.2451496064561724;0.17413542053658185;0.927536162885;0.6107781672171428;0.9117105090499998;0.1668929552177768;0.4133411522142857;0.17780381181459595;20;14;0.7;0;6
6;HybridAgent;0.46738719609500007;0.4294945447906573;0.23543483291499995;0.23543483291499995;0.19662084910487254;0.19215978523047617;0.70282202901;0.6413976914828291;0.8497949019909092;0.1020970890968145;0.4280633325727274;0.12366178679044162;20;11;0.55;0;9
7;AgentFish;0.42574907576000004;0.23613827288074207;0.7214585841500001;0.7214585841500001;0.2684353687332791;0.11271756571736244;1.14720765991;0.18404883014040377;0.42574907576000004;0.23613827288074207;0.7214585841500001;0.2357172061864697;20;20;1.0;0;0
8;ColmanAnacondotAgent2;0.6302102095;0.2844356512194797;0.6953987373299999;0.6953987373299999;0.36159324427899353;0.10304701247377598;1.32560894683;0.09001030609587209;0.6302102095;0.2844356512194797;0.6953987373299999;0.2837366646000927;20;20;1.0;0;0
9;AgentFO2;0.5883467634549999;0.3302121890916585;0.43418370779500004;0.43418370779500004;0.2960918104297595;0.17505014885763603;1.0225304712499999;0.5271704459223779;0.73543345431875;0.1677129665071837;0.54272963474375;0.22488122918910067;20;16;0.8;0;4
10;TimeDependentAgent;0.5044343744600001;0.18153481282221345;0.83788711849;0.83788711849;0.38887304111835563;0.0795554772924694;1.3423214929499998;0.07210385003408164;0.5044343744600001;0.18153481282221345;0.83788711849;0.19953977962757227;20;20;1.0;0;0
